dataset,task,metric,role,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,ensemble_members
adult,binclass,accuracy,fixed_baseline,2,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,159,172801,9,0.8544449562413634,0.8563356059210122,5.441540859988891,,,base_000
adult,binclass,accuracy,tuned_backbone,2,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,350,1319425,21,0.8596652848149854,0.857379767827529,10.317911772057414,,,base_018
adult,binclass,accuracy,best_semantic,2,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,883,1320067,16,0.8721019499462613,0.8715680854984338,10.894549974938855,3;4;5,,semantic_00_007
adult,binclass,accuracy,best_overall,2,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,883,1320067,16,0.8721019499462613,0.8715680854984338,10.894549974938855,3;4;5,,semantic_00_007
adult,binclass,accuracy,hp_ensemble,2,,,,,0,,,,,ensemble,,,,,,2653,4549208,0,0.8701059419622293,0.8734721454456115,30.463729950017296,,,semantic_00_007;semantic_00_023;semantic_01_007
adult,binclass,accuracy,fixed_baseline,3,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,159,172801,9,0.8564409642253954,0.8554757078803513,5.469737369916402,,,base_000
adult,binclass,accuracy,tuned_backbone,3,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,350,1319425,12,0.8587440503608168,0.8610036238560285,7.596033500041813,,,base_018
adult,binclass,accuracy,best_semantic,3,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,884,1320421,14,0.8753262705358513,0.8731650390025183,9.500388321001083,3;4;5,,semantic_00_007
adult,binclass,accuracy,best_overall,3,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,884,1320421,14,0.8753262705358513,0.8731650390025183,9.500388321001083,3;4;5,,semantic_00_007
adult,binclass,accuracy,hp_ensemble,3,,,,,0,,,,,ensemble,,,,,,2655,4549925,0,0.8733302625518194,0.8716295067870524,24.29034381301608,,,semantic_00_007;semantic_00_023;semantic_01_007
adult,binclass,accuracy,fixed_baseline,4,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,159,172801,8,0.8545984953170582,0.8555985504575886,5.124162929016165,,,base_000
adult,binclass,accuracy,tuned_backbone,4,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,350,1319425,18,0.8604329801934593,0.8581782445795713,9.554871791042387,,,base_018
adult,binclass,accuracy,best_semantic,4,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,882,1319713,8,0.8691847075080608,0.871199557766722,7.283545971033163,3;4;5,,semantic_00_007
adult,binclass,accuracy,best_overall,4,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,882,1319713,8,0.8691847075080608,0.871199557766722,7.283545971033163,3;4;5,,semantic_00_007
adult,binclass,accuracy,hp_ensemble,4,,,,,0,,,,,ensemble,,,,,,2644,4547911,0,0.8708736373407032,0.8729193538480438,23.349190623965114,,,semantic_00_007;semantic_00_023;semantic_01_007
