dataset,task,metric,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,train_seconds,selected_numeric,members,selection_loss
black-friday,regression,rmse,0,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,73,2396545,24,0.6922383789982298,37.36247848300263,,,0.4800063669681549
black-friday,regression,rmse,0,base_014,backbone,schema_ple,16,512,3,0.2,0.001,0.0001,resnet,relu,32,20.0,0.01,0.001,60,3186177,38,0.6914282634117441,41.3082172999857,,,0.4788835346698761
black-friday,regression,rmse,0,base_015,backbone,schema_ple,64,512,3,0.2,0.001,0.0,mlp,relu,32,20.0,0.01,0.001,73,563713,35,0.6913996178484787,35.79815545398742,,,0.4788438081741333
black-friday,regression,rmse,0,base_016,backbone,schema_ple,16,512,3,0.0,0.001,1e-05,mlp,silu,32,20.0,0.01,0.001,60,557057,37,0.6932845673763666,29.05390450102277,,,0.4814583361148834
black-friday,regression,rmse,0,base_017,backbone,schema_ple,32,128,2,0.2,0.001,1e-05,resnet,silu,32,20.0,0.01,0.001,66,141313,37,0.6928410673563299,42.88441371405497,,,0.4808425307273865
black-friday,regression,rmse,0,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,78,1214977,20,0.6912842613910044,29.128195962985046,,,0.47868406772613525
black-friday,regression,rmse,0,base_019,backbone,schema_ple,32,512,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,66,560129,49,0.6906060583255851,46.55456127994694,,,0.47774529457092285
black-friday,regression,rmse,0,base_020,backbone,schema_ple,128,384,3,0.2,0.0003,1e-05,resnet,relu,32,20.0,0.01,0.001,78,1806721,24,0.6937869664859448,35.376081128953956,,,0.4821563959121704
black-friday,regression,rmse,0,base_021,backbone,schema_ple,64,256,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,73,546561,12,0.6944870259374731,20.493223584955558,,,0.4831298887729645
black-friday,regression,rmse,0,base_022,backbone,schema_ple,16,384,2,0.2,0.0003,0.0001,resnet,gelu,32,20.0,0.01,0.001,60,1208065,24,0.6981883781256428,26.21166751300916,,,0.4882934093475342
black-friday,regression,rmse,0,base_023,backbone,schema_ple,32,512,4,0.0,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,66,822785,25,0.6932131619078525,29.52141688694246,,,0.48135918378829956
black-friday,regression,rmse,0,semantic_00_000,semantic,gated_ple,32,384,3,0.2,0.001,0.0,gated,silu,32,20.0,0.01,0.0,66,322179,42,0.6913249368997576,46.69643360807095,,schema:0.3293;numeric_ple:0.6707,0.4787403643131256
black-friday,regression,rmse,0,semantic_00_001,semantic,gated_ple,32,384,3,0.2,0.001,0.0,gated,silu,32,20.0,0.01,0.001,66,322179,49,0.6910937475513244,52.74050982692279,,schema:0.3321;numeric_ple:0.6679,0.4784202575683594
black-friday,regression,rmse,0,semantic_00_002,semantic,numeric_identity,32,384,3,0.2,0.001,0.0,mlp,silu,8,20.0,0.01,0.001,66,321793,36,0.6939521102425665,36.56172365299426,,,0.48238593339920044
black-friday,regression,rmse,0,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,57,0.6884844404641903,52.2309811830055,0;1;2;3,,0.47481441497802734
black-friday,regression,rmse,0,semantic_00_004,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,128,20.0,0.01,0.001,128,321031,57,0.6884844404641903,52.29144442197867,0;1;2;3,,0.47481441497802734
black-friday,regression,rmse,0,semantic_00_005,semantic,diagnostic_residual,32,364,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.001,0.001,150,321049,52,0.6932549689461318,50.61736002995167,1,,0.4814172089099884
black-friday,regression,rmse,0,semantic_00_006,semantic,diagnostic_residual,32,364,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,150,321049,52,0.6932549689461318,49.9175482270075,1,,0.4814172089099884
black-friday,regression,rmse,0,semantic_00_007,semantic,diagnostic_residual,32,364,3,0.2,0.001,0.0,mlp,silu,128,20.0,0.001,0.001,150,321049,52,0.6932549689461318,49.510604143026285,1,,0.4814172089099884
black-friday,regression,rmse,0,semantic_00_008,semantic,diagnostic_residual,32,364,3,0.2,0.001,0.0,mlp,silu,128,20.0,0.01,0.001,150,321049,52,0.6932549689461318,49.936225612065755,1,,0.4814172089099884
black-friday,regression,rmse,0,semantic_00_009,semantic,cat_target,32,367,3,0.2,0.001,0.0,mlp,silu,32,1.0,0.01,0.001,138,321493,57,0.6931718313030579,52.84701688005589,,,0.4813017249107361
black-friday,regression,rmse,0,semantic_00_010,semantic,cat_target,32,367,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,138,321493,57,0.6931733797118831,53.18151530995965,,,0.4813039004802704
black-friday,regression,rmse,0,semantic_00_011,semantic,cat_target,32,367,3,0.2,0.001,0.0,mlp,silu,32,100.0,0.01,0.001,138,321493,57,0.693287783302388,53.07139036990702,,,0.4814628064632416
black-friday,regression,rmse,0,semantic_00_012,semantic,cat_residual,32,367,3,0.2,0.001,0.0,mlp,silu,32,1.0,0.01,0.001,138,321493,49,0.6946097075597741,48.892399208038114,,,0.4833005964756012
black-friday,regression,rmse,0,semantic_00_013,semantic,cat_residual,32,367,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,138,321493,50,0.6946765869101839,53.94520031893626,,,0.4833936393260956
black-friday,regression,rmse,0,semantic_00_014,semantic,cat_residual,32,367,3,0.2,0.001,0.0,mlp,silu,32,100.0,0.01,0.001,138,321493,64,0.6942568490101948,63.47673883091193,,,0.48280972242355347
black-friday,regression,rmse,0,semantic_00_015,semantic,multi_view,32,353,3,0.2,0.001,0.0,mlp,silu,32,5.0,0.01,0.001,200,321231,42,0.6908128900121149,42.59028419398237,0;1;2;3,,0.4780314862728119
black-friday,regression,rmse,0,semantic_00_016,semantic,multi_view,32,353,3,0.2,0.001,0.0,mlp,silu,32,50.0,0.01,0.001,200,321231,42,0.69081443842094,42.322814141982235,0;1;2;3,,0.4780336022377014
black-friday,regression,rmse,0,semantic_00_017,semantic,multi_view_residual,32,353,3,0.2,0.001,0.0,mlp,silu,32,5.0,0.01,0.001,200,321231,33,0.690740174351518,37.33364565600641,0;1;2;3,,0.47793087363243103
black-friday,regression,rmse,0,semantic_00_018,semantic,multi_view_residual,32,353,3,0.2,0.001,0.0,mlp,silu,32,50.0,0.01,0.001,200,321231,33,0.6907578619446362,35.08674155105837,0;1;2;3,,0.47795531153678894
black-friday,regression,rmse,0,semantic_00_019,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,32,5.0,0.001,0.0,150,322510,42,0.690570504476792,52.01623786694836,1,schema:0.4397;numeric_ple:0.4903;numeric_identity:0.0410;cat_residual:0.0096;cat_residual_ple:0.0194,0.47769609093666077
black-friday,regression,rmse,0,semantic_00_020,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,32,50.0,0.001,0.001,150,322510,42,0.6907151615935732,54.095560938934796,1,schema:0.4351;numeric_ple:0.5009;numeric_identity:0.0390;cat_residual:0.0081;cat_residual_ple:0.0168,0.47789624333381653
black-friday,regression,rmse,0,semantic_00_021,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,32,5.0,0.01,0.0,150,322510,42,0.690570504476792,53.19836028700229,1,schema:0.4397;numeric_ple:0.4903;numeric_identity:0.0410;cat_residual:0.0096;cat_residual_ple:0.0194,0.47769609093666077
black-friday,regression,rmse,0,semantic_00_022,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,32,50.0,0.01,0.001,150,322510,42,0.6907151615935732,53.32487119489815,1,schema:0.4351;numeric_ple:0.5009;numeric_identity:0.0390;cat_residual:0.0081;cat_residual_ple:0.0168,0.47789624333381653
black-friday,regression,rmse,0,semantic_00_023,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,128,5.0,0.001,0.0,150,322510,42,0.690570504476792,54.64686126296874,1,schema:0.4397;numeric_ple:0.4903;numeric_identity:0.0410;cat_residual:0.0096;cat_residual_ple:0.0194,0.47769609093666077
black-friday,regression,rmse,0,semantic_00_024,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,128,50.0,0.001,0.001,150,322510,42,0.6907151615935732,60.11472344293725,1,schema:0.4351;numeric_ple:0.5009;numeric_identity:0.0390;cat_residual:0.0081;cat_residual_ple:0.0168,0.47789624333381653
black-friday,regression,rmse,0,semantic_00_025,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,128,5.0,0.01,0.0,150,322510,42,0.690570504476792,62.12406195397489,1,schema:0.4397;numeric_ple:0.4903;numeric_identity:0.0410;cat_residual:0.0096;cat_residual_ple:0.0194,0.47769609093666077
black-friday,regression,rmse,0,semantic_00_026,semantic,sparse_gate,32,364,3,0.2,0.001,0.0,gated,silu,128,50.0,0.01,0.001,150,322510,42,0.6907151615935732,58.81217958999332,1,schema:0.4351;numeric_ple:0.5009;numeric_identity:0.0390;cat_residual:0.0081;cat_residual_ple:0.0168,0.47789624333381653
black-friday,regression,rmse,0,semantic_01_000,semantic,gated_ple,32,512,3,0.2,0.001,0.0,gated,gelu,32,20.0,0.01,0.0,66,560643,45,0.6913545948841779,51.586782829952426,,schema:0.3975;numeric_ple:0.6025,0.47878146171569824
black-friday,regression,rmse,0,semantic_01_001,semantic,gated_ple,32,512,3,0.2,0.001,0.0,gated,gelu,32,20.0,0.01,0.001,66,560643,36,0.691490973969163,42.644405561033636,,schema:0.3595;numeric_ple:0.6405,0.47897034883499146
black-friday,regression,rmse,0,semantic_01_002,semantic,numeric_identity,32,512,3,0.2,0.001,0.0,mlp,gelu,8,20.0,0.01,0.001,66,560129,42,0.6914782293734483,41.25602433702443,,,0.4789527654647827
black-friday,regression,rmse,0,semantic_01_003,semantic,numeric_identity,32,497,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,128,559623,33,0.6894416548890661,36.4332463509636,0;1;2;3,,0.47613564133644104
black-friday,regression,rmse,0,semantic_01_004,semantic,numeric_identity,32,497,3,0.2,0.001,0.0,mlp,gelu,128,20.0,0.01,0.001,128,559623,33,0.6894416548890661,37.638554806937464,0;1;2;3,,0.47613564133644104
black-friday,regression,rmse,0,semantic_01_005,semantic,diagnostic_residual,32,492,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.001,0.001,150,559897,36,0.6939412713807904,38.328361272928305,1,,0.4823708236217499
black-friday,regression,rmse,0,semantic_01_006,semantic,diagnostic_residual,32,492,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,150,559897,36,0.6939412713807904,39.0387452209834,1,,0.4823708236217499
black-friday,regression,rmse,0,semantic_01_007,semantic,diagnostic_residual,32,492,3,0.2,0.001,0.0,mlp,gelu,128,20.0,0.001,0.001,150,559897,36,0.6939412713807904,38.12453379004728,1,,0.4823708236217499
black-friday,regression,rmse,0,semantic_01_008,semantic,diagnostic_residual,32,492,3,0.2,0.001,0.0,mlp,gelu,128,20.0,0.01,0.001,150,559897,36,0.6939412713807904,39.731794678024016,1,,0.4823708236217499
black-friday,regression,rmse,0,semantic_01_009,semantic,cat_target,32,495,3,0.2,0.001,0.0,mlp,gelu,32,1.0,0.01,0.001,138,560341,31,0.6944476010666172,33.677458521095105,,,0.4830750524997711
black-friday,regression,rmse,0,semantic_01_010,semantic,cat_target,32,495,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,138,560341,31,0.6944997705331879,33.697860094951466,,,0.48314759135246277
black-friday,regression,rmse,0,semantic_01_011,semantic,cat_target,32,495,3,0.2,0.001,0.0,mlp,gelu,32,100.0,0.01,0.001,138,560341,31,0.694281385334655,35.2962978790747,,,0.4828437864780426
black-friday,regression,rmse,0,semantic_01_012,semantic,cat_residual,32,495,3,0.2,0.001,0.0,mlp,gelu,32,1.0,0.01,0.001,138,560341,36,0.6930739242219595,39.33171009097714,,,0.4811658263206482
black-friday,regression,rmse,0,semantic_01_013,semantic,cat_residual,32,495,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,138,560341,42,0.6931610519954674,42.00770994508639,,,0.48128679394721985
black-friday,regression,rmse,0,semantic_01_014,semantic,cat_residual,32,495,3,0.2,0.001,0.0,mlp,gelu,32,100.0,0.01,0.001,138,560341,34,0.6928662587768315,38.13472135399934,,,0.48087751865386963
black-friday,regression,rmse,0,semantic_01_015,semantic,multi_view,32,481,3,0.2,0.001,0.0,mlp,gelu,32,5.0,0.01,0.001,200,560847,25,0.6907401147973324,27.30256424995605,0;1;2;3,,0.47793078422546387
black-friday,regression,rmse,0,semantic_01_016,semantic,multi_view,32,481,3,0.2,0.001,0.0,mlp,gelu,32,50.0,0.01,0.001,200,560847,25,0.6907465466493754,23.587312777061015,0;1;2;3,,0.4779396951198578
black-friday,regression,rmse,0,semantic_01_017,semantic,multi_view_residual,32,481,3,0.2,0.001,0.0,mlp,gelu,32,5.0,0.01,0.001,200,560847,23,0.6909155018738744,22.322129908017814,0;1;2;3,,0.47817346453666687
black-friday,regression,rmse,0,semantic_01_018,semantic,multi_view_residual,32,481,3,0.2,0.001,0.0,mlp,gelu,32,50.0,0.01,0.001,200,560847,23,0.6908762556655752,22.118419141042978,0;1;2;3,,0.4781191647052765
black-friday,regression,rmse,0,semantic_01_019,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,32,5.0,0.001,0.0,150,559746,21,0.6914296331580125,25.595933233969845,1,schema:0.4008;numeric_ple:0.5371;numeric_identity:0.0396;cat_residual:0.0082;cat_residual_ple:0.0142,0.4788854122161865
black-friday,regression,rmse,0,semantic_01_020,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,32,50.0,0.001,0.001,150,559746,21,0.6913291056927484,26.559762142947875,1,schema:0.3986;numeric_ple:0.5442;numeric_identity:0.0384;cat_residual:0.0070;cat_residual_ple:0.0117,0.4787461459636688
black-friday,regression,rmse,0,semantic_01_021,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,32,5.0,0.01,0.0,150,559746,21,0.6914296331580125,26.964827718911693,1,schema:0.4008;numeric_ple:0.5371;numeric_identity:0.0396;cat_residual:0.0082;cat_residual_ple:0.0142,0.4788854122161865
black-friday,regression,rmse,0,semantic_01_022,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,32,50.0,0.01,0.001,150,559746,21,0.6913291056927484,27.371453708037734,1,schema:0.3986;numeric_ple:0.5442;numeric_identity:0.0384;cat_residual:0.0070;cat_residual_ple:0.0117,0.4787461459636688
black-friday,regression,rmse,0,semantic_01_023,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,128,5.0,0.001,0.0,150,559746,21,0.6914296331580125,29.245727998088114,1,schema:0.4008;numeric_ple:0.5371;numeric_identity:0.0396;cat_residual:0.0082;cat_residual_ple:0.0142,0.4788854122161865
black-friday,regression,rmse,0,semantic_01_024,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,128,50.0,0.001,0.001,150,559746,21,0.6913291056927484,28.558055530069396,1,schema:0.3986;numeric_ple:0.5442;numeric_identity:0.0384;cat_residual:0.0070;cat_residual_ple:0.0117,0.4787461459636688
black-friday,regression,rmse,0,semantic_01_025,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,128,5.0,0.01,0.0,150,559746,21,0.6914296331580125,25.83275754400529,1,schema:0.4008;numeric_ple:0.5371;numeric_identity:0.0396;cat_residual:0.0082;cat_residual_ple:0.0142,0.4788854122161865
black-friday,regression,rmse,0,semantic_01_026,semantic,sparse_gate,32,491,3,0.2,0.001,0.0,gated,gelu,128,50.0,0.01,0.001,150,559746,21,0.6913291056927484,26.126163200009614,1,schema:0.3986;numeric_ple:0.5442;numeric_identity:0.0384;cat_residual:0.0070;cat_residual_ple:0.0117,0.4787461459636688
