backbone,source,task,split,operator,fold,state,gain
mlp,ACS,acs_occupation,0,knn_5,0,407,0.05466004302407961
mlp,ACS,acs_occupation,0,knn_5,0,421,-0.021309053573963743
mlp,ACS,acs_occupation,0,knn_10,0,3,0.056856091172959054
mlp,ACS,acs_occupation,0,knn_10,0,27,0.016304446600140316
mlp,ACS,acs_occupation,0,knn_10,0,56,0.0696968384901306
mlp,ACS,acs_occupation,0,knn_10,0,63,0.02245408399667798
mlp,ACS,acs_occupation,0,knn_10,0,77,0.09122384290184718
mlp,ACS,acs_occupation,0,knn_10,0,128,0.005337940326608696
mlp,ACS,acs_occupation,0,knn_10,0,152,0.0015102965323635963
mlp,ACS,acs_occupation,0,knn_10,0,160,-0.009732775517008393
mlp,ACS,acs_occupation,0,knn_10,0,277,-0.0015254170960969202
mlp,ACS,acs_occupation,0,knn_10,0,283,0.021759259942865674
mlp,ACS,acs_occupation,0,knn_10,0,307,0.006873724865236144
mlp,ACS,acs_occupation,0,knn_10,0,315,-0.013993427726717649
mlp,ACS,acs_occupation,0,knn_10,0,353,-0.010334647452261677
mlp,ACS,acs_occupation,0,knn_10,0,392,0.0002724232194394667
mlp,ACS,acs_occupation,0,knn_10,0,395,0.006031607876385142
mlp,ACS,acs_occupation,0,knn_10,0,396,0.045767814677380864
mlp,ACS,acs_occupation,0,knn_10,0,407,-0.05203068348238783
mlp,ACS,acs_occupation,0,knn_10,0,421,-0.04958762132761536
mlp,ACS,acs_occupation,0,rbf_half,0,3,0.000998937106053699
mlp,ACS,acs_occupation,0,rbf_half,0,27,0.0004430902645679026
mlp,ACS,acs_occupation,0,rbf_half,0,56,0.0010293336495401256
mlp,ACS,acs_occupation,0,rbf_half,0,63,0.0018591899164578508
mlp,ACS,acs_occupation,0,rbf_half,0,77,0.0011137799258469658
mlp,ACS,acs_occupation,0,rbf_half,0,128,0.0003187707085172749
mlp,ACS,acs_occupation,0,rbf_half,0,152,6.915975769777576e-05
mlp,ACS,acs_occupation,0,rbf_half,0,160,0.000256982835924356
mlp,ACS,acs_occupation,0,rbf_half,0,277,-7.951457506495693e-05
mlp,ACS,acs_occupation,0,rbf_half,0,283,0.0012098084993048138
mlp,ACS,acs_occupation,0,rbf_half,0,307,0.0005793429945659055
mlp,ACS,acs_occupation,0,rbf_half,0,315,-0.00046866632012032404
mlp,ACS,acs_occupation,0,rbf_half,0,353,-0.00013055336539276603
mlp,ACS,acs_occupation,0,rbf_half,0,392,-5.981906339870314e-05
mlp,ACS,acs_occupation,0,rbf_half,0,395,0.0003570290263454262
mlp,ACS,acs_occupation,0,rbf_half,0,396,0.0011834007581769527
mlp,ACS,acs_occupation,0,rbf_half,0,407,-0.002773232858559664
mlp,ACS,acs_occupation,0,rbf_half,0,421,-0.00041195126802913694
mlp,ACS,acs_occupation,0,rbf,0,3,-4.143070184491596e-05
mlp,ACS,acs_occupation,0,rbf,0,27,-4.3401798412580366e-05
mlp,ACS,acs_occupation,0,rbf,0,56,-6.487765212228163e-05
mlp,ACS,acs_occupation,0,rbf,0,63,0.00017536939136521834
mlp,ACS,acs_occupation,0,rbf,0,77,-0.00010402321606526695
mlp,ACS,acs_occupation,0,rbf,0,128,0.0001641667587375714
mlp,ACS,acs_occupation,0,rbf,0,152,6.107120353778386e-05
mlp,ACS,acs_occupation,0,rbf,0,160,0.00024383723066802695
mlp,ACS,acs_occupation,0,rbf,0,277,-0.00018677143386240208
mlp,ACS,acs_occupation,0,rbf,0,283,0.000475542703291052
mlp,ACS,acs_occupation,0,rbf,0,307,0.00022773147992977794
mlp,ACS,acs_occupation,0,rbf,0,315,-0.00014088874492184178
mlp,ACS,acs_occupation,0,rbf,0,353,-0.00014270341942543654
mlp,ACS,acs_occupation,0,rbf,0,392,-3.286284467895847e-05
mlp,ACS,acs_occupation,0,rbf,0,395,0.00017247368450330717
mlp,ACS,acs_occupation,0,rbf,0,396,0.0005688361742496714
mlp,ACS,acs_occupation,0,rbf,0,407,-0.0013807008304039378
mlp,ACS,acs_occupation,0,rbf,0,421,-0.00018259617057139255
mlp,ACS,acs_occupation,0,rbf_double,0,3,-0.000276567847004276
mlp,ACS,acs_occupation,0,rbf_double,0,27,-0.00015247591532595057
mlp,ACS,acs_occupation,0,rbf_double,0,56,-0.0003059445678535164
mlp,ACS,acs_occupation,0,rbf_double,0,63,-0.0001510617251131254
mlp,ACS,acs_occupation,0,rbf_double,0,77,-0.0003704547191805879
mlp,ACS,acs_occupation,0,rbf_double,0,128,0.00012953384103424475
mlp,ACS,acs_occupation,0,rbf_double,0,152,5.935103867761273e-05
mlp,ACS,acs_occupation,0,rbf_double,0,160,0.0002407288523701096
mlp,ACS,acs_occupation,0,rbf_double,0,277,-0.00021057989806563373
mlp,ACS,acs_occupation,0,rbf_double,0,283,0.0003068615769361565
mlp,ACS,acs_occupation,0,rbf_double,0,307,0.00014642316923013513
mlp,ACS,acs_occupation,0,rbf_double,0,315,-7.526230181246456e-05
mlp,ACS,acs_occupation,0,rbf_double,0,353,-0.00014564240288747997
mlp,ACS,acs_occupation,0,rbf_double,0,392,-2.6705529538861598e-05
mlp,ACS,acs_occupation,0,rbf_double,0,395,0.00013119332685881987
mlp,ACS,acs_occupation,0,rbf_double,0,396,0.00043221420531106914
mlp,ACS,acs_occupation,0,rbf_double,0,407,-0.001059484581843894
mlp,ACS,acs_occupation,0,rbf_double,0,421,-0.00013212420818224947
mlp,ACS,acs_occupation,0,kernel_ridge,0,3,0.05672364630502486
mlp,ACS,acs_occupation,0,kernel_ridge,0,27,0.016177848777839902
mlp,ACS,acs_occupation,0,kernel_ridge,0,56,0.06635994887077543
mlp,ACS,acs_occupation,0,kernel_ridge,0,63,0.022797698944091636
mlp,ACS,acs_occupation,0,kernel_ridge,0,77,0.0926315445506367
mlp,ACS,acs_occupation,0,kernel_ridge,0,128,0.005976758584034879
mlp,ACS,acs_occupation,0,kernel_ridge,0,152,0.0015602054519017882
mlp,ACS,acs_occupation,0,kernel_ridge,0,160,-0.00381669090409398
mlp,ACS,acs_occupation,0,kernel_ridge,0,277,0.01558113592765049
mlp,ACS,acs_occupation,0,kernel_ridge,0,283,0.018193741136497396
mlp,ACS,acs_occupation,0,kernel_ridge,0,307,0.006884742971345291
mlp,ACS,acs_occupation,0,kernel_ridge,0,315,-0.015341127105140994
mlp,ACS,acs_occupation,0,kernel_ridge,0,353,-0.001037598477452592
mlp,ACS,acs_occupation,0,kernel_ridge,0,392,-0.007350334460573071
mlp,ACS,acs_occupation,0,kernel_ridge,0,395,0.006540487565292058
mlp,ACS,acs_occupation,0,kernel_ridge,0,396,0.04099715514373998
mlp,ACS,acs_occupation,0,kernel_ridge,0,407,0.1297759220395761
mlp,ACS,acs_occupation,0,kernel_ridge,0,421,-0.05623897477343694
mlp,ACS,acs_occupation,0,harmonic,0,3,0.0006632775276674433
mlp,ACS,acs_occupation,0,harmonic,0,27,0.00035243928970806485
mlp,ACS,acs_occupation,0,harmonic,0,56,0.0008525125536079528
mlp,ACS,acs_occupation,0,harmonic,0,63,0.0006497044022883221
mlp,ACS,acs_occupation,0,harmonic,0,77,0.0009956714372784097
mlp,ACS,acs_occupation,0,harmonic,0,128,0.0002725241639882821
mlp,ACS,acs_occupation,0,harmonic,0,152,7.049236341649487e-05
mlp,ACS,acs_occupation,0,harmonic,0,160,0.0002469229001184454
mlp,ACS,acs_occupation,0,harmonic,0,277,-0.00010561358041766908
mlp,ACS,acs_occupation,0,harmonic,0,283,0.0009443598996186784
mlp,ACS,acs_occupation,0,harmonic,0,307,0.00046081383163842156
mlp,ACS,acs_occupation,0,harmonic,0,315,-0.00021480471069074513
mlp,ACS,acs_occupation,0,harmonic,0,353,-0.00011115869468723064
mlp,ACS,acs_occupation,0,harmonic,0,392,-4.130854711854267e-05
mlp,ACS,acs_occupation,0,harmonic,0,395,0.0003259280164384137
mlp,ACS,acs_occupation,0,harmonic,0,396,0.0010793982926870246
mlp,ACS,acs_occupation,0,harmonic,0,407,-0.001991294275311148
mlp,ACS,acs_occupation,0,harmonic,0,421,-0.0003598329191470605
mlp,ACS,acs_occupation,0,knn_1,1,17,-0.04738228297783477
mlp,ACS,acs_occupation,0,knn_1,1,33,0.0320346674509278
mlp,ACS,acs_occupation,0,knn_1,1,96,-0.03830520108450315
mlp,ACS,acs_occupation,0,knn_1,1,106,0.014259657808852216
mlp,ACS,acs_occupation,0,knn_1,1,153,-0.005381237449170864
mlp,ACS,acs_occupation,0,knn_1,1,171,0.04672460837405307
mlp,ACS,acs_occupation,0,knn_1,1,173,-0.050840100677344804
mlp,ACS,acs_occupation,0,knn_1,1,207,0.014194023125008507
mlp,ACS,acs_occupation,0,knn_1,1,244,0.033655462452008456
mlp,ACS,acs_occupation,0,knn_1,1,245,0.015078824943555863
mlp,ACS,acs_occupation,0,knn_1,1,271,-0.008906613430569294
mlp,ACS,acs_occupation,0,knn_1,1,275,0.0064276832786075225
mlp,ACS,acs_occupation,0,knn_1,1,281,-0.04230342291635264
mlp,ACS,acs_occupation,0,knn_1,1,282,0.08258938816807553
mlp,ACS,acs_occupation,0,knn_1,1,288,0.017502486826934664
mlp,ACS,acs_occupation,0,knn_1,1,350,-0.037922464557074924
mlp,ACS,acs_occupation,0,knn_1,1,355,-0.017212903369653337
mlp,ACS,acs_occupation,0,knn_1,1,430,0.006909259068910708
mlp,ACS,acs_occupation,0,knn_3,1,17,-0.009523531568607286
mlp,ACS,acs_occupation,0,knn_3,1,33,0.005027718209223313
mlp,ACS,acs_occupation,0,knn_3,1,96,0.014239620837350616
mlp,ACS,acs_occupation,0,knn_3,1,106,0.023418567200185366
mlp,ACS,acs_occupation,0,knn_3,1,153,0.0017242507237134278
mlp,ACS,acs_occupation,0,knn_3,1,171,0.007879891090674617
mlp,ACS,acs_occupation,0,knn_3,1,173,-0.0037429224149066877
mlp,ACS,acs_occupation,0,knn_3,1,207,0.011246572403092982
mlp,ACS,acs_occupation,0,knn_3,1,244,0.06140090276106992
mlp,ACS,acs_occupation,0,knn_3,1,245,0.02288097536376571
mlp,ACS,acs_occupation,0,knn_3,1,271,-0.002416518678456106
mlp,ACS,acs_occupation,0,knn_3,1,275,-0.02213947600834223
mlp,ACS,acs_occupation,0,knn_3,1,281,-0.012641479196680218
mlp,ACS,acs_occupation,0,knn_3,1,282,0.04698881327379917
mlp,ACS,acs_occupation,0,knn_3,1,288,0.015912957671943995
mlp,ACS,acs_occupation,0,knn_3,1,350,0.01205426599319488
mlp,ACS,acs_occupation,0,knn_3,1,355,-0.01104777992415428
mlp,ACS,acs_occupation,0,knn_3,1,430,-0.02043351563085327
mlp,ACS,acs_occupation,0,knn_5,1,17,-0.000748971007542898
mlp,ACS,acs_occupation,0,knn_5,1,33,0.0078075978853273855
mlp,ACS,acs_occupation,0,knn_5,1,96,0.011415151561590437
mlp,ACS,acs_occupation,0,knn_5,1,106,0.02911852517761832
mlp,ACS,acs_occupation,0,knn_5,1,153,-0.008033361101707458
mlp,ACS,acs_occupation,0,knn_5,1,171,0.029269578334979174
mlp,ACS,acs_occupation,0,knn_5,1,173,-0.020341660588071093
mlp,ACS,acs_occupation,0,knn_5,1,207,0.017096007838189417
mlp,ACS,acs_occupation,0,knn_5,1,244,0.032655635056930366
mlp,ACS,acs_occupation,0,knn_5,1,245,0.01469782609659532
mlp,ACS,acs_occupation,0,knn_5,1,271,-0.0047548217853742416
mlp,ACS,acs_occupation,0,knn_5,1,275,-0.033273415052169755
mlp,ACS,acs_occupation,0,knn_5,1,281,-0.007549516846113189
mlp,ACS,acs_occupation,0,knn_5,1,282,0.03477129843897191
mlp,ACS,acs_occupation,0,knn_5,1,288,0.01271614005779894
mlp,ACS,acs_occupation,0,knn_5,1,350,0.0065986740902619035
mlp,ACS,acs_occupation,0,knn_5,1,355,0.00022349047431561743
mlp,ACS,acs_occupation,0,knn_5,1,430,-0.042894336846334924
mlp,ACS,acs_occupation,0,knn_10,1,17,0.0004910026214023717
mlp,ACS,acs_occupation,0,knn_10,1,33,0.028444167497226325
mlp,ACS,acs_occupation,0,knn_10,1,96,0.016354989840042182
mlp,ACS,acs_occupation,0,knn_10,1,106,0.027142106792474852
mlp,ACS,acs_occupation,0,knn_10,1,153,-0.004890482741620486
mlp,ACS,acs_occupation,0,knn_10,1,171,0.04630008953739943
mlp,ACS,acs_occupation,0,knn_10,1,173,-0.049611244708939344
mlp,ACS,acs_occupation,0,knn_10,1,207,0.017839018105983016
mlp,ACS,acs_occupation,0,knn_10,1,244,-0.06157489297985397
mlp,ACS,acs_occupation,0,knn_10,1,245,-0.03487266552696344
mlp,ACS,acs_occupation,0,knn_10,1,271,0.004154350198745605
mlp,ACS,acs_occupation,0,knn_10,1,275,0.004231356639985651
mlp,ACS,acs_occupation,0,knn_10,1,281,-0.020100132221258997
mlp,ACS,acs_occupation,0,knn_10,1,282,0.05984129664372594
mlp,ACS,acs_occupation,0,knn_10,1,288,0.01773633982179711
mlp,ACS,acs_occupation,0,knn_10,1,350,0.0024425006958451842
mlp,ACS,acs_occupation,0,knn_10,1,355,3.390541746903284e-06
mlp,ACS,acs_occupation,0,knn_10,1,430,0.0002830147480101198
mlp,ACS,acs_occupation,0,rbf_half,1,17,0.0006577656196705907
mlp,ACS,acs_occupation,0,rbf_half,1,33,0.0022522157141507664
mlp,ACS,acs_occupation,0,rbf_half,1,96,0.0019223854761402617
mlp,ACS,acs_occupation,0,rbf_half,1,106,-9.659965024465054e-05
mlp,ACS,acs_occupation,0,rbf_half,1,153,0.0002921811332627358
mlp,ACS,acs_occupation,0,rbf_half,1,171,0.005661044462274079
mlp,ACS,acs_occupation,0,rbf_half,1,173,-0.0025939982067293963
mlp,ACS,acs_occupation,0,rbf_half,1,207,2.3201973943100238e-05
mlp,ACS,acs_occupation,0,rbf_half,1,244,-0.0022363934225140686
mlp,ACS,acs_occupation,0,rbf_half,1,245,-0.00113284218813282
mlp,ACS,acs_occupation,0,rbf_half,1,271,0.0005784747033702524
mlp,ACS,acs_occupation,0,rbf_half,1,275,0.0006887572298217644
mlp,ACS,acs_occupation,0,rbf_half,1,281,0.00019483167057630802
mlp,ACS,acs_occupation,0,rbf_half,1,282,-0.0019204620908383721
mlp,ACS,acs_occupation,0,rbf_half,1,288,-0.00028315787719021394
mlp,ACS,acs_occupation,0,rbf_half,1,350,0.0009312557912552659
mlp,ACS,acs_occupation,0,rbf_half,1,355,-0.0001699036704952673
mlp,ACS,acs_occupation,0,rbf_half,1,430,0.00043955253668575384
mlp,ACS,acs_occupation,0,rbf,1,17,0.0004411010047674397
mlp,ACS,acs_occupation,0,rbf,1,33,0.0016028686836320745
mlp,ACS,acs_occupation,0,rbf,1,96,0.0017768479202578155
mlp,ACS,acs_occupation,0,rbf,1,106,-0.001118589781588525
mlp,ACS,acs_occupation,0,rbf,1,153,0.00032013239859067
mlp,ACS,acs_occupation,0,rbf,1,171,0.002558605188066708
mlp,ACS,acs_occupation,0,rbf,1,173,-0.0011155547178744868
mlp,ACS,acs_occupation,0,rbf,1,207,-0.0008182077532454351
mlp,ACS,acs_occupation,0,rbf,1,244,-0.0022976868883136624
mlp,ACS,acs_occupation,0,rbf,1,245,-0.0011640738814335436
mlp,ACS,acs_occupation,0,rbf,1,271,0.0005220554359017133
mlp,ACS,acs_occupation,0,rbf,1,275,0.0006748198901211259
mlp,ACS,acs_occupation,0,rbf,1,281,0.00023405092702677202
mlp,ACS,acs_occupation,0,rbf,1,282,-0.0023313927488289783
mlp,ACS,acs_occupation,0,rbf,1,288,-0.0008720398374116809
mlp,ACS,acs_occupation,0,rbf,1,350,0.0008580763704515565
mlp,ACS,acs_occupation,0,rbf,1,355,-0.0001641851053839888
mlp,ACS,acs_occupation,0,rbf,1,430,0.0006386565095558021
mlp,ACS,acs_occupation,0,rbf_double,1,17,0.0003911240111975156
mlp,ACS,acs_occupation,0,rbf_double,1,33,0.0014576597181028574
mlp,ACS,acs_occupation,0,rbf_double,1,96,0.0017442896185507434
mlp,ACS,acs_occupation,0,rbf_double,1,106,-0.001310646677864273
mlp,ACS,acs_occupation,0,rbf_double,1,153,0.00032624550389817207
mlp,ACS,acs_occupation,0,rbf_double,1,171,0.001932156687046675
mlp,ACS,acs_occupation,0,rbf_double,1,173,-0.0008340688843212965
mlp,ACS,acs_occupation,0,rbf_double,1,207,-0.000978773860974571
mlp,ACS,acs_occupation,0,rbf_double,1,244,-0.0023124612734683092
mlp,ACS,acs_occupation,0,rbf_double,1,245,-0.0011716035218931299
mlp,ACS,acs_occupation,0,rbf_double,1,271,0.0005099355779741418
mlp,ACS,acs_occupation,0,rbf_double,1,275,0.0006714518964353837
mlp,ACS,acs_occupation,0,rbf_double,1,281,0.00024344499684197766
mlp,ACS,acs_occupation,0,rbf_double,1,282,-0.002431182764616683
mlp,ACS,acs_occupation,0,rbf_double,1,288,-0.0010074106314642592
mlp,ACS,acs_occupation,0,rbf_double,1,350,0.0008416887037836798
mlp,ACS,acs_occupation,0,rbf_double,1,355,-0.00016275589645964311
mlp,ACS,acs_occupation,0,rbf_double,1,430,0.0006822928970135571
mlp,ACS,acs_occupation,0,kernel_ridge,1,17,-0.0013626767801298938
mlp,ACS,acs_occupation,0,kernel_ridge,1,33,0.02822359773502267
mlp,ACS,acs_occupation,0,kernel_ridge,1,96,0.01319770634617304
mlp,ACS,acs_occupation,0,kernel_ridge,1,106,0.02783654273625042
mlp,ACS,acs_occupation,0,kernel_ridge,1,153,-0.006674115612894028
mlp,ACS,acs_occupation,0,kernel_ridge,1,171,0.04986857955984755
mlp,ACS,acs_occupation,0,kernel_ridge,1,173,-0.06199998735882739
mlp,ACS,acs_occupation,0,kernel_ridge,1,207,0.018027567651239522
mlp,ACS,acs_occupation,0,kernel_ridge,1,244,0.03496542426281864
mlp,ACS,acs_occupation,0,kernel_ridge,1,245,0.01557005284321355
mlp,ACS,acs_occupation,0,kernel_ridge,1,271,0.002059203256814471
mlp,ACS,acs_occupation,0,kernel_ridge,1,275,0.00512735870350203
mlp,ACS,acs_occupation,0,kernel_ridge,1,281,-0.011472603730359236
mlp,ACS,acs_occupation,0,kernel_ridge,1,282,0.04451298054021264
mlp,ACS,acs_occupation,0,kernel_ridge,1,288,0.013651952592956729
mlp,ACS,acs_occupation,0,kernel_ridge,1,350,0.00952243934611118
mlp,ACS,acs_occupation,0,kernel_ridge,1,355,-0.0015776834600503581
mlp,ACS,acs_occupation,0,kernel_ridge,1,430,-0.02314996198910345
mlp,ACS,acs_occupation,0,harmonic,1,17,0.0006043620488319811
mlp,ACS,acs_occupation,0,harmonic,1,33,0.0021308842311162173
mlp,ACS,acs_occupation,0,harmonic,1,96,0.0018786985299860564
mlp,ACS,acs_occupation,0,harmonic,1,106,-0.0008007324001054068
mlp,ACS,acs_occupation,0,harmonic,1,153,0.0002965667996282555
mlp,ACS,acs_occupation,0,harmonic,1,171,0.0033897171821900478
mlp,ACS,acs_occupation,0,harmonic,1,173,-0.001497641857208771
mlp,ACS,acs_occupation,0,harmonic,1,207,-0.0005514944653546531
mlp,ACS,acs_occupation,0,harmonic,1,244,-0.0021396551387308053
mlp,ACS,acs_occupation,0,harmonic,1,245,-0.00108356951648504
mlp,ACS,acs_occupation,0,harmonic,1,271,0.0005826923895883147
mlp,ACS,acs_occupation,0,harmonic,1,275,0.0007125469110205392
mlp,ACS,acs_occupation,0,harmonic,1,281,0.00013011573889374503
mlp,ACS,acs_occupation,0,harmonic,1,282,-0.0012613221610854315
mlp,ACS,acs_occupation,0,harmonic,1,288,-0.0004929355038869874
mlp,ACS,acs_occupation,0,harmonic,1,350,0.0009116132033603393
mlp,ACS,acs_occupation,0,harmonic,1,355,-0.00016242872144572016
mlp,ACS,acs_occupation,0,harmonic,1,430,0.0004697637268818603
mlp,ACS,acs_occupation,0,knn_1,2,2,0.07191206567003505
mlp,ACS,acs_occupation,0,knn_1,2,19,-0.013088877172041097
mlp,ACS,acs_occupation,0,knn_1,2,23,-0.08702915458266158
mlp,ACS,acs_occupation,0,knn_1,2,54,0.005410008223471339
mlp,ACS,acs_occupation,0,knn_1,2,82,0.07624400611230317
mlp,ACS,acs_occupation,0,knn_1,2,131,0.07372935149449919
mlp,ACS,acs_occupation,0,knn_1,2,132,0.030228702335465006
mlp,ACS,acs_occupation,0,knn_1,2,139,-0.01843174146447091
mlp,ACS,acs_occupation,0,knn_1,2,145,-0.002039957415244608
mlp,ACS,acs_occupation,0,knn_1,2,210,0.019553640918675945
mlp,ACS,acs_occupation,0,knn_1,2,213,0.024798837743918244
mlp,ACS,acs_occupation,0,knn_1,2,248,0.0341034516362653
mlp,ACS,acs_occupation,0,knn_1,2,267,0.018708178051213702
mlp,ACS,acs_occupation,0,knn_1,2,270,0.020838101125514395
mlp,ACS,acs_occupation,0,knn_1,2,287,-0.014219705969355458
mlp,ACS,acs_occupation,0,knn_1,2,330,0.0030984936213119536
mlp,ACS,acs_occupation,0,knn_1,2,333,-0.0013815988011920497
mlp,ACS,acs_occupation,0,knn_1,2,393,0.020019180592967707
mlp,ACS,acs_occupation,0,knn_3,2,2,0.07112255093096534
mlp,ACS,acs_occupation,0,knn_3,2,19,-0.001718611077343424
mlp,ACS,acs_occupation,0,knn_3,2,23,0.004896684764090673
mlp,ACS,acs_occupation,0,knn_3,2,54,0.03421307156890275
mlp,ACS,acs_occupation,0,knn_3,2,82,0.0761806604135146
mlp,ACS,acs_occupation,0,knn_3,2,131,0.05199306742238732
mlp,ACS,acs_occupation,0,knn_3,2,132,0.0293422357732337
mlp,ACS,acs_occupation,0,knn_3,2,139,-0.002202356276815281
mlp,ACS,acs_occupation,0,knn_3,2,145,0.007195508919692695
mlp,ACS,acs_occupation,0,knn_3,2,210,0.029325878679438935
mlp,ACS,acs_occupation,0,knn_3,2,213,0.050540351888884935
mlp,ACS,acs_occupation,0,knn_3,2,248,0.03854360839289022
mlp,ACS,acs_occupation,0,knn_3,2,267,0.017156946570259058
mlp,ACS,acs_occupation,0,knn_3,2,270,0.029424652293674716
mlp,ACS,acs_occupation,0,knn_3,2,287,0.0007671408885505965
mlp,ACS,acs_occupation,0,knn_3,2,330,0.007953539889527517
mlp,ACS,acs_occupation,0,knn_3,2,333,-0.005565653870597223
mlp,ACS,acs_occupation,0,knn_3,2,393,0.03906664988864376
mlp,ACS,acs_occupation,0,knn_5,2,2,0.07260084972925715
mlp,ACS,acs_occupation,0,knn_5,2,19,-0.02931138395935686
mlp,ACS,acs_occupation,0,knn_5,2,23,0.02640751946424471
mlp,ACS,acs_occupation,0,knn_5,2,54,0.03533913201742289
mlp,ACS,acs_occupation,0,knn_5,2,82,0.07629282991739317
mlp,ACS,acs_occupation,0,knn_5,2,131,0.047271248596572196
mlp,ACS,acs_occupation,0,knn_5,2,132,0.027362462825996157
mlp,ACS,acs_occupation,0,knn_5,2,139,-0.005946941140169395
mlp,ACS,acs_occupation,0,knn_5,2,145,0.0030938393150181215
mlp,ACS,acs_occupation,0,knn_5,2,210,0.02915179904957256
mlp,ACS,acs_occupation,0,knn_5,2,213,0.0228965171168612
mlp,ACS,acs_occupation,0,knn_5,2,248,0.038865138939834634
mlp,ACS,acs_occupation,0,knn_5,2,267,0.017466106969136187
mlp,ACS,acs_occupation,0,knn_5,2,270,0.032555137979453384
mlp,ACS,acs_occupation,0,knn_5,2,287,0.001167607697797315
mlp,ACS,acs_occupation,0,knn_5,2,330,0.004953532934768178
mlp,ACS,acs_occupation,0,knn_5,2,333,-0.002590725582184459
mlp,ACS,acs_occupation,0,knn_5,2,393,0.019010686007274714
mlp,ACS,acs_occupation,0,knn_10,2,2,0.06681561506442045
mlp,ACS,acs_occupation,0,knn_10,2,19,-0.024412369224659523
mlp,ACS,acs_occupation,0,knn_10,2,23,0.025142464873052973
mlp,ACS,acs_occupation,0,knn_10,2,54,0.032846422714926896
mlp,ACS,acs_occupation,0,knn_10,2,82,0.07433258946451218
mlp,ACS,acs_occupation,0,knn_10,2,131,0.030242734537283898
mlp,ACS,acs_occupation,0,knn_10,2,132,0.018676139179079666
