model,dataset,pipeline,reference_id,budget,problem_type,log_loss,accuracy,roc_auc,rmse,mae,probability_mad,prediction_rmse_normalized,prediction_disagreement,task_error
tabicl_v2,diamonds,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,547.1134038792534,299.43432116508484,,,,547.1134038792534
tabicl_v2,diamonds,numeric_code,ordinal_integer_reference,3,regression,,,,529.5633908685481,295.0787420272827,,,,529.5633908685481
tabicl_v2,diamonds,numeric_code,ordinal_rank_reference,3,regression,,,,529.5633908685481,295.0787420272827,,,,529.5633908685481
tabicl_v2,diamonds,numeric_code,original__numeric_code,3,regression,,,,535.6966631524552,294.6541860103607,,,,535.6966631524552
tabicl_v2,diamonds,numeric_code,quantile_reference,3,regression,,,,554.9908465408292,296.7665231227875,,,,554.9908465408292
tabicl_v2,diamonds,numeric_code,zscore_reference,3,regression,,,,535.6966631524552,294.6541860103607,,,,535.6966631524552
tabicl_v2,wine-quality-red,numeric_code,basis_reference__density,3,regression,,,,0.6386036944740048,0.43572498559951783,,,,0.6386036944740048
tabicl_v2,wine-quality-red,numeric_code,original__numeric_code,3,regression,,,,0.6363011164257991,0.43689036518335345,,,,0.6363011164257991
tabicl_v2,wine-quality-red,numeric_code,quantile_reference,3,regression,,,,0.6366028334608322,0.443536214530468,,,,0.6366028334608322
tabicl_v2,wine-quality-red,numeric_code,zscore_reference,3,regression,,,,0.6360973292133928,0.43660037517547606,,,,0.6360973292133928
tabpfn_2_6,adult,native_categorical,nominal_canonical_ref__native_categorical,3,classification,0.33967031638661327,0.84765625,0.898488933475453,,,,,,0.33967031638661327
tabpfn_2_6,adult,native_categorical,original__native_categorical,3,classification,0.3444546034434892,0.84765625,0.8950613413589149,,,,,,0.3444546034434892
tabpfn_2_6,adult,numeric_code,basis_reference__fnlwgt,3,classification,0.3466299611968916,0.845703125,0.8936819445315275,,,,,,0.3466299611968916
tabpfn_2_6,adult,numeric_code,nominal_canonical_ref__numeric_code,3,classification,0.33967031638661327,0.84765625,0.898488933475453,,,,,,0.33967031638661327
tabpfn_2_6,adult,numeric_code,original__numeric_code,3,classification,0.3490612592111888,0.83984375,0.8933893452045061,,,,,,0.3490612592111888
tabpfn_2_6,adult,numeric_code,quantile_reference,3,classification,0.3475225745916213,0.84375,0.8942671431855707,,,,,,0.3475225745916213
tabpfn_2_6,adult,numeric_code,zscore_reference,3,classification,0.3490612592111888,0.83984375,0.8933893452045061,,,,,,0.3490612592111888
tabpfn_2_6,bank-marketing,native_categorical,nominal_canonical_ref__native_categorical,3,classification,0.23924033213470716,0.8984375,0.9030973451327433,,,,,,0.23924033213470716
tabpfn_2_6,bank-marketing,native_categorical,original__native_categorical,3,classification,0.2182391547884649,0.8984375,0.9220132743362832,,,,,,0.2182391547884649
tabpfn_2_6,bank-marketing,numeric_code,basis_reference__V6,3,classification,0.21101124608208033,0.8984375,0.9275442477876106,,,,,,0.21101124608208033
tabpfn_2_6,bank-marketing,numeric_code,nominal_canonical_ref__numeric_code,3,classification,0.23924033213470716,0.8984375,0.9030973451327433,,,,,,0.23924033213470716
tabpfn_2_6,bank-marketing,numeric_code,original__numeric_code,3,classification,0.21558404515727025,0.90234375,0.9214601769911505,,,,,,0.21558404515727025
tabpfn_2_6,bank-marketing,numeric_code,quantile_reference,3,classification,0.21606630156874476,0.900390625,0.9215707964601769,,,,,,0.21606630156874476
tabpfn_2_6,bank-marketing,numeric_code,zscore_reference,3,classification,0.21558404515727025,0.90234375,0.9214601769911505,,,,,,0.21558404515727025
tabpfn_2_6,bike-sharing,native_categorical,nominal_canonical_ref__native_categorical,3,regression,,,,46.10470413594495,27.363106693684436,,,,46.10470413594495
tabpfn_2_6,bike-sharing,native_categorical,original__native_categorical,3,regression,,,,44.97057762225929,27.20547380868811,,,,44.97057762225929
tabpfn_2_6,bike-sharing,numeric_code,basis_reference__humidity,3,regression,,,,43.87750685383526,26.310171544474244,,,,43.87750685383526
tabpfn_2_6,bike-sharing,numeric_code,cyclic_sincos_reference,3,regression,,,,45.46094294398328,26.6066664288907,,,,45.46094294398328
tabpfn_2_6,bike-sharing,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,46.10470413594495,27.363106693684436,,,,46.10470413594495
tabpfn_2_6,bike-sharing,numeric_code,original__numeric_code,3,regression,,,,44.80565527853163,26.878950531904895,,,,44.80565527853163
tabpfn_2_6,bike-sharing,numeric_code,quantile_reference,3,regression,,,,44.86031071778487,26.924571744011093,,,,44.86031071778487
tabpfn_2_6,bike-sharing,numeric_code,zscore_reference,3,regression,,,,45.00023923506029,26.974046104781642,,,,45.00023923506029
tabpfn_2_6,california_housing,native_categorical,nominal_canonical_ref__native_categorical,3,regression,,,,50023.17930300633,30873.572308858234,,,,50023.17930300633
tabpfn_2_6,california_housing,native_categorical,original__native_categorical,3,regression,,,,50936.638776732674,31359.03565979004,,,,50936.638776732674
tabpfn_2_6,california_housing,numeric_code,basis_reference__median_income,3,regression,,,,49725.26601804496,30353.554054260254,,,,49725.26601804496
tabpfn_2_6,california_housing,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,50023.17930300633,30873.572308858234,,,,50023.17930300633
tabpfn_2_6,california_housing,numeric_code,original__numeric_code,3,regression,,,,50152.04169859728,30897.13042449951,,,,50152.04169859728
tabpfn_2_6,california_housing,numeric_code,quantile_reference,3,regression,,,,50545.98086488074,31131.18808746338,,,,50545.98086488074
tabpfn_2_6,california_housing,numeric_code,zscore_reference,3,regression,,,,50725.361135249026,31117.722493489586,,,,50725.361135249026
tabpfn_2_6,diamonds,native_categorical,nominal_canonical_ref__native_categorical,3,regression,,,,610.9947119586496,310.8196995854378,,,,610.9947119586496
tabpfn_2_6,diamonds,native_categorical,ordinal_categorical_reference,3,regression,,,,548.0875237738722,293.47040079037356,,,,548.0875237738722
tabpfn_2_6,diamonds,native_categorical,original__native_categorical,3,regression,,,,596.9457647474396,309.0476620395978,,,,596.9457647474396
tabpfn_2_6,diamonds,numeric_code,basis_reference__y,3,regression,,,,575.1685641456819,307.2870134115219,,,,575.1685641456819
tabpfn_2_6,diamonds,numeric_code,nominal_canonical_ref__numeric_code,3,regression,,,,610.9947119586496,310.8196995854378,,,,610.9947119586496
tabpfn_2_6,diamonds,numeric_code,ordinal_integer_reference,3,regression,,,,546.2958104148474,293.8923000892003,,,,546.2958104148474
tabpfn_2_6,diamonds,numeric_code,ordinal_rank_reference,3,regression,,,,547.3871914665788,294.4191444913547,,,,547.3871914665788
tabpfn_2_6,diamonds,numeric_code,original__numeric_code,3,regression,,,,599.2699073716556,309.50925648212433,,,,599.2699073716556
tabpfn_2_6,diamonds,numeric_code,quantile_reference,3,regression,,,,592.2327672781872,311.1923169692357,,,,592.2327672781872
tabpfn_2_6,diamonds,numeric_code,zscore_reference,3,regression,,,,606.9403256294676,304.46072018146515,,,,606.9403256294676
tabpfn_2_6,wine-quality-red,native_categorical,original__native_categorical,3,regression,,,,0.6305234459595224,0.45959479709466305,,,,0.6305234459595224
tabpfn_2_6,wine-quality-red,numeric_code,basis_reference__density,3,regression,,,,0.6371621917141268,0.46373864064613973,,,,0.6371621917141268
tabpfn_2_6,wine-quality-red,numeric_code,original__numeric_code,3,regression,,,,0.6305234459595224,0.45959479709466305,,,,0.6305234459595224
tabpfn_2_6,wine-quality-red,numeric_code,quantile_reference,3,regression,,,,0.6387534003127534,0.4647939309477806,,,,0.6387534003127534
tabpfn_2_6,wine-quality-red,numeric_code,zscore_reference,3,regression,,,,0.6325972933520078,0.4420301616191864,,,,0.6325972933520078
