model,dataset,pipeline,family,variant,scope,repair,reference_id,orbit_three_task_error,orbit_three_disagreement,ordinary_three_task_error,orbit_vs_ordinary_relative_error,orbit_beats_ordinary
catboost,california_housing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,58791.98900583486,0.06188253993048565,58963.322237885164,-0.0029057594712703964,True
catboost,california_housing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,58820.84450104234,0.057778401310600434,58963.322237885164,-0.0024163790545587835,True
catboost,california_housing,numeric_code,T2,affine,all,none,original__numeric_code,59153.48632383617,0.0003486714430976392,58963.322237885164,0.0032251250223621834,False
catboost,california_housing,numeric_code,T2,affine,one,none,original__numeric_code,59155.46621998434,0.0003963811720300509,58963.322237885164,0.003258703458464832,False
catboost,california_housing,numeric_code,T2,scaling,all,none,original__numeric_code,59158.42835895559,0.0008157778365572335,58963.322237885164,0.00330894043390704,False
catboost,california_housing,numeric_code,T2,scaling,one,none,original__numeric_code,59153.75755165389,3.865402069432585e-05,58963.322237885164,0.0032297249636040666,False
catboost,california_housing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,59158.4924679069,0.0008640246010892476,58963.322237885164,0.0033100277022100307,False
catboost,california_housing,numeric_code,T6,cond_le_10,one,none,basis_reference__median_income,60721.27013857003,0.07328670458363618,59902.32502863696,0.013671340962835139,False
catboost,california_housing,numeric_code,T6,cond_le_3,one,none,basis_reference__median_income,61184.3063547989,0.07566017632483213,59902.32502863696,0.021401194787499096,False
catboost,california_housing,numeric_code,T6,orthogonal,one,none,basis_reference__median_income,60853.744936513685,0.07060024634975332,59902.32502863696,0.015882854420456807,False
catboost,diamonds,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,683.706318265226,7.748715866787306e-17,672.9551122210722,0.01597611170330458,False
catboost,diamonds,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,683.706318265226,7.748715866787306e-17,672.9551122210722,0.01597611170330458,False
catboost,diamonds,native_categorical,T4,ordinal_categorical,all,none,ordinal_categorical_reference,683.706318265226,7.748715866787306e-17,672.9551122210722,0.01597611170330458,False
catboost,diamonds,native_categorical,T4,ordinal_categorical,one,none,ordinal_categorical_reference,683.706318265226,7.748715866787306e-17,672.9551122210722,0.01597611170330458,False
catboost,diamonds,numeric_code,T0,column_permutation,all,none,original__numeric_code,726.8302704965308,0.031644717330399724,729.353383424104,-0.0034593833180396913,True
catboost,diamonds,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,815.7664850326697,0.09177586948591983,729.353383424104,0.11847905771394536,False
catboost,diamonds,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,725.1923509525556,0.03743412204300625,729.353383424104,-0.005705097921138825,True
catboost,diamonds,numeric_code,T2,affine,all,none,original__numeric_code,736.050320179685,0.0009202959487745868,729.353383424104,0.00918201917997662,False
catboost,diamonds,numeric_code,T2,affine,one,none,original__numeric_code,735.8702219841576,0.00071971511625347,729.353383424104,0.00893509059964729,False
catboost,diamonds,numeric_code,T2,scaling,all,none,original__numeric_code,735.9313402295671,0.0007590144369130316,729.353383424104,0.00901888844963128,False
catboost,diamonds,numeric_code,T2,scaling,one,none,original__numeric_code,735.3441530715705,8.10351155252077e-06,729.353383424104,0.008213809359931414,False
catboost,diamonds,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,734.9915734615234,0.0008482634187686539,729.353383424104,0.007730395396192974,False
catboost,diamonds,numeric_code,T4,ordinal_integer,all,none,ordinal_integer_reference,636.7974833713764,7.222775882767614e-17,630.7543799473358,0.009580755387771048,False
catboost,diamonds,numeric_code,T4,ordinal_integer,one,none,ordinal_integer_reference,636.7974833713764,7.222775882767614e-17,630.7543799473358,0.009580755387771048,False
catboost,diamonds,numeric_code,T6,cond_le_10,one,none,basis_reference__y,752.7163977962579,0.029710064023566032,751.9702954397294,0.0009921965815048181,False
catboost,diamonds,numeric_code,T6,cond_le_3,one,none,basis_reference__y,757.614175233097,0.030440566615006676,751.9702954397294,0.007505455770785702,False
catboost,diamonds,numeric_code,T6,orthogonal,one,none,basis_reference__y,753.1848887688258,0.031108297148554943,751.9702954397294,0.0016152145057619818,False
catboost,wine-quality-red,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.6562640341309188,0.07148265457865792,0.6539681011067486,0.003510772192534546,False
catboost,wine-quality-red,numeric_code,T2,affine,all,none,original__numeric_code,0.6553149340926766,0.00042710126323231246,0.6539681011067486,0.0020594781055049104,False
catboost,wine-quality-red,numeric_code,T2,affine,one,none,original__numeric_code,0.655306066741646,4.122047267574263e-05,0.6539681011067486,0.002045918803429542,False
catboost,wine-quality-red,numeric_code,T2,scaling,all,none,original__numeric_code,0.655266794190969,0.0013426723828562244,0.6539681011067486,0.001985866102677662,False
catboost,wine-quality-red,numeric_code,T2,scaling,one,none,original__numeric_code,0.655307250919143,4.780754581496879e-16,0.6539681011067486,0.0020477295607049272,False
catboost,wine-quality-red,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.6552898312501578,0.0017299661863301359,0.6539681011067486,0.0020210926820013893,False
catboost,wine-quality-red,numeric_code,T6,cond_le_10,one,none,basis_reference__density,0.646961403652286,0.07520516705728249,0.6524580121362558,-0.00842446315583267,True
catboost,wine-quality-red,numeric_code,T6,cond_le_3,one,none,basis_reference__density,0.6464557354086898,0.07823503875523906,0.6524580121362558,-0.009199483516055654,True
catboost,wine-quality-red,numeric_code,T6,orthogonal,one,none,basis_reference__density,0.6511533912009105,0.07884828084192036,0.6524580121362558,-0.001999547727329884,True
tabicl_v2,adult,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.3252285839393597,0.010341166744793132,0.3269448589893808,-0.005249432749382465,True
tabicl_v2,adult,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.32524544086125284,0.014087808547683966,0.3269448589893808,-0.005197873835303702,True
tabicl_v2,adult,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.32615319378671015,0.004351432309206734,0.3269448589893808,-0.0024214028173367556,True
tabicl_v2,adult,numeric_code,T2,affine,all,none,original__numeric_code,0.3269448589893808,7.036593860417092e-19,0.3269448589893808,0.0,False
tabicl_v2,adult,numeric_code,T2,affine,one,none,original__numeric_code,0.3269448589893808,7.036593860417092e-19,0.3269448589893808,0.0,False
tabicl_v2,adult,numeric_code,T2,scaling,all,none,original__numeric_code,0.3269448589893808,7.036593860417092e-19,0.3269448589893808,0.0,False
tabicl_v2,adult,numeric_code,T2,scaling,one,none,original__numeric_code,0.3269448589893808,7.036593860417092e-19,0.3269448589893808,0.0,False
tabicl_v2,adult,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.32773208152771005,0.00854100658301826,0.3269448589893808,0.0024078143964784454,False
tabicl_v2,adult,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0.3312041389003082,0.007422795077269739,0.328651110418997,0.007768202815613105,False
tabicl_v2,adult,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0.3296477129549433,0.0071610231838363,0.328651110418997,0.003032402764973874,False
tabicl_v2,adult,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0.3308771261585803,0.009814669461512365,0.328651110418997,0.006773187946163833,False
tabicl_v2,bank-marketing,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.22099101643043864,0.008557223129061806,0.2194887478772315,0.006844398939518414,False
tabicl_v2,bank-marketing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.22030623054693108,0.01089180751650935,0.2194887478772315,0.003724485549285795,False
tabicl_v2,bank-marketing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.21800922716380844,0.0025103987230039627,0.2194887478772315,-0.006740758821270454,True
tabicl_v2,bank-marketing,numeric_code,T2,affine,all,none,original__numeric_code,0.2194887478772315,4.293398251395235e-19,0.2194887478772315,0.0,False
tabicl_v2,bank-marketing,numeric_code,T2,affine,one,none,original__numeric_code,0.2194887478772315,4.293398251395235e-19,0.2194887478772315,0.0,False
tabicl_v2,bank-marketing,numeric_code,T2,scaling,all,none,original__numeric_code,0.2194887478772315,4.293398251395235e-19,0.2194887478772315,0.0,False
tabicl_v2,bank-marketing,numeric_code,T2,scaling,one,none,original__numeric_code,0.2194887478772315,4.293398251395235e-19,0.2194887478772315,0.0,False
tabicl_v2,bank-marketing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.22298976848231425,0.007701163803055276,0.2194887478772315,0.015950797655654818,False
tabicl_v2,bank-marketing,numeric_code,T6,cond_le_10,one,none,basis_reference__V6,0.22106243593104347,0.010605148625103698,0.221200190422836,-0.0006227593725358734,True
tabicl_v2,bank-marketing,numeric_code,T6,cond_le_3,one,none,basis_reference__V6,0.2219416873796581,0.009531128820900042,0.221200190422836,0.0033521533385875066,False
tabicl_v2,bank-marketing,numeric_code,T6,orthogonal,one,none,basis_reference__V6,0.2207590503701992,0.008920391772120298,0.221200190422836,-0.0019943023186081137,True
tabicl_v2,bike-sharing,numeric_code,T0,column_permutation,all,none,original__numeric_code,46.422705123685546,0.05710440936171058,45.79978064598804,0.01360103626941882,False
tabicl_v2,bike-sharing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,45.34154549785762,0.028944234381020884,45.79978064598804,-0.010005182157363903,True
tabicl_v2,bike-sharing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,45.38538945719112,0.019121266987166208,45.79978064598804,-0.009047885883995372,True
tabicl_v2,bike-sharing,numeric_code,T2,affine,all,none,original__numeric_code,45.77910427759804,0.003139786388372904,45.79978064598804,-0.00045145125366032767,True
tabicl_v2,bike-sharing,numeric_code,T2,affine,one,none,original__numeric_code,45.79978064598803,1.674320564534599e-17,45.79978064598804,-1.5514107834975892e-16,True
tabicl_v2,bike-sharing,numeric_code,T2,scaling,all,none,original__numeric_code,45.77635177127479,0.0028469224200090362,45.79978064598804,-0.0005115499328335549,True
tabicl_v2,bike-sharing,numeric_code,T2,scaling,one,none,original__numeric_code,45.79978064598803,1.674320564534599e-17,45.79978064598804,-1.5514107834975892e-16,True
tabicl_v2,bike-sharing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,45.448822841584,0.02747031854634102,45.79978064598804,-0.007662870857762126,True
tabicl_v2,bike-sharing,numeric_code,T5,cyclic_rotation,all,none,cyclic_sincos_reference,43.96672926113458,0.06315785192914357,46.46965369539964,-0.053861482391740816,True
tabicl_v2,bike-sharing,numeric_code,T5,cyclic_shift,all,none,original__numeric_code,45.458340867508305,0.06311466266616383,45.79978064598804,-0.007455052702520771,True
tabicl_v2,bike-sharing,numeric_code,T5,cyclic_shift,one,none,original__numeric_code,45.66617029215448,0.03875153635880143,45.79978064598804,-0.0029172706058638634,True
tabicl_v2,bike-sharing,numeric_code,T6,cond_le_10,one,none,basis_reference__humidity,47.573303034838354,0.05870358906853213,48.80207783765621,-0.02517873945665739,True
tabicl_v2,bike-sharing,numeric_code,T6,cond_le_3,one,none,basis_reference__humidity,48.80232521219605,0.06499350531053448,48.80207783765621,5.068934578194381e-06,False
tabicl_v2,bike-sharing,numeric_code,T6,orthogonal,one,none,basis_reference__humidity,48.48849801939276,0.06770166026542186,48.80207783765621,-0.006425542357163619,True
tabicl_v2,california_housing,numeric_code,T0,column_permutation,all,none,original__numeric_code,50537.40380414668,0.05774040926983617,50120.3844680495,0.008320353894392304,False
tabicl_v2,california_housing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,50181.47005637645,0.023652797419946442,50120.3844680495,0.001218777329329695,False
tabicl_v2,california_housing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,50567.31372236362,0.03270728238610436,50120.3844680495,0.008917115442301253,False
tabicl_v2,california_housing,numeric_code,T2,affine,all,none,original__numeric_code,50075.42457913173,0.004434219564240319,50120.3844680495,-0.0008970379895316474,True
tabicl_v2,california_housing,numeric_code,T2,affine,one,none,original__numeric_code,50074.71613600146,0.004465442713721669,50120.3844680495,-0.0009111728198564932,True
tabicl_v2,california_housing,numeric_code,T2,scaling,all,none,original__numeric_code,50087.723029229826,0.006121750863446848,50120.3844680495,-0.0006516597820692432,True
tabicl_v2,california_housing,numeric_code,T2,scaling,one,none,original__numeric_code,50074.71613600146,0.004465442713721669,50120.3844680495,-0.0009111728198564932,True
tabicl_v2,california_housing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,50873.7286711431,0.06371516979846141,50120.3844680495,0.015030694817870694,False
tabicl_v2,california_housing,numeric_code,T6,cond_le_10,one,none,basis_reference__median_income,55132.33308960413,0.11556862200022011,55703.94216965382,-0.010261555247001683,True
tabicl_v2,california_housing,numeric_code,T6,cond_le_3,one,none,basis_reference__median_income,55457.54573148986,0.12890480125394177,55703.94216965382,-0.004423321376672525,True
tabicl_v2,california_housing,numeric_code,T6,orthogonal,one,none,basis_reference__median_income,55772.39622827002,0.1327592674407163,55703.94216965382,0.0012288907382482523,False
tabicl_v2,diamonds,numeric_code,T0,column_permutation,all,none,original__numeric_code,559.6845874505935,0.03402619680664173,535.6966631524552,0.044778931712911405,False
tabicl_v2,diamonds,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,532.4651589093066,0.030171003896569227,535.6966631524552,-0.006032339690398528,True
tabicl_v2,diamonds,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,527.5019782176997,0.01506055375487455,535.6966631524552,-0.015297248421395092,True
tabicl_v2,diamonds,numeric_code,T2,affine,all,none,original__numeric_code,535.7689594628698,0.0029884374069117105,535.6966631524552,0.0001349575522631116,False
tabicl_v2,diamonds,numeric_code,T2,affine,one,none,original__numeric_code,535.6966631524552,0.0,535.6966631524552,0.0,False
tabicl_v2,diamonds,numeric_code,T2,scaling,all,none,original__numeric_code,535.3467969197784,0.0027934112774863156,535.6966631524552,-0.000653105118516066,True
tabicl_v2,diamonds,numeric_code,T2,scaling,one,none,original__numeric_code,535.1681211649428,0.0010645222842858356,535.6966631524552,-0.000986644166125797,True
tabicl_v2,diamonds,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,535.6571725399967,0.018314139602487574,535.6966631524552,-7.37182349169664e-05,True
tabicl_v2,diamonds,numeric_code,T4,ordinal_integer,all,none,ordinal_integer_reference,534.7207802157077,0.023988367203201324,529.5633908685481,0.009738946150905196,False
tabicl_v2,diamonds,numeric_code,T4,ordinal_integer,one,none,ordinal_integer_reference,525.4036337929178,0.012430199739675652,529.5633908685481,-0.007855069189748539,True
tabicl_v2,diamonds,numeric_code,T6,cond_le_10,one,none,basis_reference__y,566.2746910507221,0.0346568217767095,555.3023807889243,0.01975916300990702,False
tabicl_v2,diamonds,numeric_code,T6,cond_le_3,one,none,basis_reference__y,545.3478849253094,0.027198697241699262,555.3023807889243,-0.01792626181337905,True
tabicl_v2,diamonds,numeric_code,T6,orthogonal,one,none,basis_reference__y,554.5781920661705,0.027097401916683184,555.3023807889243,-0.001304134013841256,True
tabicl_v2,wine-quality-red,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.6373248333601119,0.047894270772415266,0.6363011164257991,0.0016088561026942347,False
tabicl_v2,wine-quality-red,numeric_code,T2,affine,all,none,original__numeric_code,0.6360764200658692,0.0032466510888446384,0.6363011164257991,-0.00035312897326362917,True
tabicl_v2,wine-quality-red,numeric_code,T2,affine,one,none,original__numeric_code,0.6363011164257991,0.0,0.6363011164257991,0.0,False
tabicl_v2,wine-quality-red,numeric_code,T2,scaling,all,none,original__numeric_code,0.6360939752572138,0.0030441667280899933,0.6363011164257991,-0.00032553953346629004,True
tabicl_v2,wine-quality-red,numeric_code,T2,scaling,one,none,original__numeric_code,0.6363011164257991,0.0,0.6363011164257991,0.0,False
tabicl_v2,wine-quality-red,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.633865440558383,0.06544417144869262,0.6363011164257991,-0.00382786671992291,True
tabicl_v2,wine-quality-red,numeric_code,T6,cond_le_10,one,none,basis_reference__density,0.6310352199323559,0.0512586218743481,0.6386036944740048,-0.011851598428165638,True
tabicl_v2,wine-quality-red,numeric_code,T6,cond_le_3,one,none,basis_reference__density,0.6321058363335117,0.05305616358212865,0.6386036944740048,-0.010175102644598916,True
tabicl_v2,wine-quality-red,numeric_code,T6,orthogonal,one,none,basis_reference__density,0.6306014674645476,0.05062961962802959,0.6386036944740048,-0.01253081853221713,True
tabpfn_2_6,adult,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.3431748697050745,0.01998049767742542,0.3444546034434892,-0.003715246437763677,True
tabpfn_2_6,adult,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.3466016292406584,0.008585004724455343,0.3444546034434892,0.006233116862731744,False
tabpfn_2_6,adult,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.34712709191457697,0.02083843760797631,0.3490612592111888,-0.005541054028690203,True
tabpfn_2_6,adult,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.3412918289541423,0.017528315652757257,0.3490612592111888,-0.022258070903095728,True
tabpfn_2_6,adult,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.3499053940084806,0.008390046537706359,0.3490612592111888,0.002418299868622965,False
tabpfn_2_6,adult,numeric_code,T2,affine,all,none,original__numeric_code,0.35229524742328494,1.426496927779483e-06,0.3490612592111888,0.00926481563552578,False
tabpfn_2_6,adult,numeric_code,T2,affine,one,none,original__numeric_code,0.35229669979613104,8.34314218155685e-19,0.3490612592111888,0.009268976431969883,False
tabpfn_2_6,adult,numeric_code,T2,scaling,all,none,original__numeric_code,0.35229524742328494,1.426496927779483e-06,0.3490612592111888,0.00926481563552578,False
tabpfn_2_6,adult,numeric_code,T2,scaling,one,none,original__numeric_code,0.35229669979613104,8.34314218155685e-19,0.3490612592111888,0.009268976431969883,False
tabpfn_2_6,adult,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.3510691143044315,0.004948569681148267,0.3490612592111888,0.005752156792707561,False
tabpfn_2_6,adult,numeric_code,T6,cond_le_10,one,none,basis_reference__fnlwgt,0.34936481876343023,0.008698806754220195,0.3466299611968916,0.00788984759740715,False
tabpfn_2_6,adult,numeric_code,T6,cond_le_3,one,none,basis_reference__fnlwgt,0.35062437955840037,0.008536905947065413,0.3466299611968916,0.011523580788332,False
tabpfn_2_6,adult,numeric_code,T6,orthogonal,one,none,basis_reference__fnlwgt,0.3492895275200163,0.008058753076913755,0.3466299611968916,0.007672638319957627,False
tabpfn_2_6,bank-marketing,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.2097265079825179,0.020145606290489,0.2182391547884649,-0.039006047352951566,True
tabpfn_2_6,bank-marketing,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.2203471292628472,0.004271891442481132,0.2182391547884649,0.009659011355801465,False
tabpfn_2_6,bank-marketing,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.2089300570606433,0.01776424828205092,0.21558404515727025,-0.030864937578162704,True
tabpfn_2_6,bank-marketing,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.21556260906908462,0.01970045951784535,0.21558404515727025,-9.943262809639382e-05,True
tabpfn_2_6,bank-marketing,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.21899254052915595,0.005893746023928929,0.21558404515727025,0.015810517746798824,False
tabpfn_2_6,bank-marketing,numeric_code,T2,affine,all,none,original__numeric_code,0.21812380208954837,0.0001596044676499099,0.21558404515727025,0.01178082047038939,False
tabpfn_2_6,bank-marketing,numeric_code,T2,affine,one,none,original__numeric_code,0.21802963189899835,3.8861165759237923e-19,0.21558404515727025,0.011344006185355788,False
tabpfn_2_6,bank-marketing,numeric_code,T2,scaling,all,none,original__numeric_code,0.21802963189899835,3.8861165759237923e-19,0.21558404515727025,0.011344006185355788,False
tabpfn_2_6,bank-marketing,numeric_code,T2,scaling,one,none,original__numeric_code,0.21802963189899835,3.8861165759237923e-19,0.21558404515727025,0.011344006185355788,False
tabpfn_2_6,bank-marketing,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.217979745668889,0.003428094422907125,0.21558404515727025,0.011112605804715583,False
tabpfn_2_6,bank-marketing,numeric_code,T6,cond_le_10,one,none,basis_reference__V6,0.2172862134725407,0.008478019493981992,0.21101124608208033,0.029737596962104602,False
tabpfn_2_6,bank-marketing,numeric_code,T6,cond_le_3,one,none,basis_reference__V6,0.21333456505144408,0.008769611482047962,0.21101124608208033,0.011010403532994678,False
tabpfn_2_6,bank-marketing,numeric_code,T6,orthogonal,one,none,basis_reference__V6,0.21562863166968368,0.00807009100712303,0.21101124608208033,0.02188217771960486,False
tabpfn_2_6,bike-sharing,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,45.64233310506157,0.039857600518916285,44.97057762225929,0.01493766632140775,False
