dataset,problem_type,model,pipeline,family,variant,scope,repair,reference_id,pred_disagreement,pred_disagreement_seed_sd,task_metric_original,orbit_mean,orbit_worst,orbit_best,orbit_span,probability_mad,js_divergence,label_flip_rate,prediction_rmse_normalized,prediction_pearson,prediction_spearman,kill_effect_min_across_seeds,kill_effect_seed_passes,seeds
bank-marketing,classification,catboost,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.016369337797116492,0.0006992207780855017,0.25225536276835275,0.25428130991101466,0.2590270043041096,0.2491193729343185,0.009907631369791095,0.016369337797116492,0.0010153427042205792,0.015950520833333332,,,,0.013916015625,0,3
bank-marketing,classification,catboost,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0.0,0.0,0.24312079081254337,0.24312079081254337,0.24312079081254337,0.24312079081254337,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.02517359315499709,0.00031091384482673056,0.25225536276835275,0.2480554551132459,0.2570109314761795,0.24189199633830213,0.01511893513787734,0.02517359315499709,0.002497589044193125,0.019205729166666668,,,,0.01611328125,0,3
bank-marketing,classification,catboost,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.011042984148625921,0.0003213736004524199,0.25225536276835275,0.25074711957181944,0.25465342643938776,0.24594762647267202,0.008705799966715694,0.011042984148625921,0.0007683259648530125,0.009114583333333334,,,,0.0078125,0,3
bank-marketing,classification,catboost,numeric_code,T2,affine,all,none,original__numeric_code,1.0866070418817569e-05,9.115357254870164e-06,0.25225536276835275,0.2522399402251339,0.2522636389112241,0.2522100776120983,5.356129912583348e-05,1.0866070418817569e-05,7.40542297052667e-08,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,affine,all,standardization,zscore_reference,0.0,0.0,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,affine,one,none,original__numeric_code,3.822098309583813e-06,2.4545968629803615e-06,0.25225536276835275,0.25226282944885914,0.2523152083884067,0.2522552505923499,5.995779605681243e-05,3.822098309583813e-06,3.30603095000818e-08,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,affine,one,standardization,zscore_reference,0.0,0.0,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,scaling,all,none,original__numeric_code,1.2393373501694549e-05,5.222895962290042e-06,0.25225536276835275,0.2522796135648131,0.2523248168599272,0.25225441623866063,7.040062126658271e-05,1.2393373501694549e-05,1.1213802649659728e-07,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,scaling,all,standardization,zscore_reference,0.0,0.0,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,scaling,one,none,original__numeric_code,9.534753874513492e-09,1.6514678148321573e-08,0.25225536276835275,0.2522553531753016,0.25225536276835275,0.2522552860239438,7.674440893890022e-08,9.534753874513492e-09,2.3119208951092745e-11,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T2,scaling,one,standardization,zscore_reference,0.0,0.0,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.2522100776120983,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,3.931749045185533e-05,2.0562173372549675e-05,0.25225536276835275,0.2522767054279606,0.25232379006919575,0.2522269840710144,9.6805998181367e-05,3.931749045185533e-05,3.147822205119625e-07,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,2.5753941592400816e-05,8.824055282703193e-06,0.25232379006919575,0.25229029581071155,0.25232380237345586,0.2522344679451511,8.93344283047955e-05,2.5753941592400816e-05,2.0265209288899162e-07,0.0,,,,0.0,0,3
bank-marketing,classification,catboost,numeric_code,T6,cond_le_10,one,none,basis_reference__V6,0.018096268922105575,0.0008277533818299916,0.2599533136635535,0.2583068548650003,0.2633935393306192,0.25351280570303686,0.009880733627582405,0.018096268922105575,0.0012109782501462084,0.016845703125,,,,0.015625,0,3
bank-marketing,classification,catboost,numeric_code,T6,cond_le_3,one,none,basis_reference__V6,0.01829863584735121,0.0007459390328584266,0.2599533136635535,0.25764850791430255,0.2629376326305812,0.25267452376235516,0.010263108868225993,0.01829863584735121,0.0012175240812111793,0.015462239583333334,,,,0.013916015625,0,3
bank-marketing,classification,catboost,numeric_code,T6,orthogonal,one,none,basis_reference__V6,0.018446554071690324,0.0011800425862833139,0.2599533136635535,0.25817227901570244,0.2628358126280021,0.25282435417247373,0.010011458455528347,0.018446554071690324,0.0012551720952562791,0.014404296875,,,,0.012939453125,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.010995597423458412,0.0,0.2194887478772314,0.22228006096089273,0.2280570265937392,0.21807479305701807,0.009982233536721091,0.010995597423458412,0.0004864033357553375,0.0087890625,,,,0.0087890625,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0.0,0.0,0.2274814491684133,0.2274814491684133,0.2274814491684133,0.2274814491684133,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.013533378502036226,0.0,0.2194887478772314,0.22386712586035565,0.228447506735634,0.217592340015329,0.010855166720304982,0.013533378502036226,0.000727176060815475,0.01025390625,,,,0.01025390625,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.0038692031369100877,0.0,0.2194887478772314,0.21955740119914316,0.22259456673683373,0.2172121983257744,0.005382368411059296,0.0038692031369100877,0.00011644024662293886,0.001708984375,,,,0.001708984375,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,affine,all,none,original__numeric_code,0.0,0.0,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,affine,all,standardization,zscore_reference,0.0,0.0,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,affine,one,none,original__numeric_code,0.0,0.0,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,affine,one,standardization,zscore_reference,0.0,0.0,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,scaling,all,none,original__numeric_code,0.0,0.0,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,scaling,all,standardization,zscore_reference,0.0,0.0,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,scaling,one,none,original__numeric_code,0.0,0.0,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.2194887478772314,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T2,scaling,one,standardization,zscore_reference,0.0,0.0,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.2191802124922353,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,none,original__numeric_code,0.009874809992751638,0.0,0.2194887478772314,0.22318193494590602,0.2260801329517451,0.2217579512879111,0.004322181663833996,0.009874809992751638,0.0004103344890014875,0.008544921875,,,,0.008544921875,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T3,mixed_monotone,all,quantile_rank,quantile_reference,1.0192632326910418e-06,0.0,0.2217579512879111,0.2217584808989671,0.2217593593003704,0.2217579512879111,1.408012459319652e-06,1.0192632326910418e-06,2.211849053935795e-09,0.0,,,,0.0,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T6,cond_le_10,one,none,basis_reference__V6,0.011841704700200064,0.0,0.221200190422836,0.22252577908401283,0.2263085124233771,0.21854993129866576,0.007758581124711311,0.011841704700200064,0.0005255509286922375,0.007080078125,,,,0.007080078125,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T6,cond_le_3,one,none,basis_reference__V6,0.011601219568993888,0.0,0.221200190422836,0.22252552336417955,0.224498672390981,0.22014477838489857,0.004353894006082409,0.011601219568993888,0.0005067213249920125,0.00732421875,,,,0.00732421875,0,3
bank-marketing,classification,tabicl_v2,numeric_code,T6,orthogonal,one,none,basis_reference__V6,0.011123479575304225,0.0,0.221200190422836,0.22202625849837374,0.2243791872284865,0.2206008822295581,0.0037783049989283946,0.011123479575304225,0.0004715972030587125,0.007568359375,,,,0.007568359375,0,3
bank-marketing,classification,tabpfn_2_6,native_categorical,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__native_categorical,0.0,0.0,0.2430877017056504,0.2430877017056504,0.2430877017056504,0.2430877017056504,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabpfn_2_6,native_categorical,T1,nominal_relabeling,all,none,original__native_categorical,0.02312085681240057,0.0013494043897125361,0.219927057985457,0.21794816541973025,0.22772169213916246,0.21010720014518977,0.017614491993972702,0.02312085681240057,0.002159437721272921,0.020426432291666668,,,,0.01953125,0,3
bank-marketing,classification,tabpfn_2_6,native_categorical,T1,nominal_relabeling,one,none,original__native_categorical,0.004814577894886463,0.00020046930483255245,0.219927057985457,0.22038152368668884,0.22507260631622195,0.21687739464970104,0.008195211666520874,0.004814577894886463,0.00018142465323102297,0.004720052083333333,,,,0.002685546875,0,3
bank-marketing,classification,tabpfn_2_6,numeric_code,T0,column_permutation,all,none,original__numeric_code,0.02046472183060891,0.001747437989130473,0.2180296318989983,0.21264745397069182,0.22033111308193523,0.20540939031021996,0.01492172277171531,0.02046472183060891,0.0016570760321888084,0.020833333333333332,,,,0.017333984375,0,3
bank-marketing,classification,tabpfn_2_6,numeric_code,T1,nominal_relabeling,all,nominal_canonicalization,nominal_canonical_ref__numeric_code,0.0,0.0,0.2430877017056504,0.2430877017056504,0.2430877017056504,0.2430877017056504,0.0,0.0,0.0,0.0,,,,0.0,0,3
bank-marketing,classification,tabpfn_2_6,numeric_code,T1,nominal_relabeling,all,none,original__numeric_code,0.02161128176537309,0.0028357062384414197,0.2180296318989983,0.22022603641667757,0.2282314446217055,0.2126518566942199,0.015579587927485603,0.02161128176537309,0.0019016705678720667,0.019694010416666668,,,,0.0166015625,0,3
bank-marketing,classification,tabpfn_2_6,numeric_code,T1,nominal_relabeling,one,none,original__numeric_code,0.007129067045535346,0.0007716208656380001,0.2180296318989983,0.21837756245568432,0.22148200807707397,0.21305676799622983,0.008425240080844146,0.007129067045535346,0.0003271947961289437,0.00537109375,,,,0.00439453125,0,3
