dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m3,3,False,test,77.09821039638307,1.0878381717385128e-06,1.2924670930951834,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m4,4,False,validation,74.81136327696046,9.65196368566172e-07,1.2726958158891648,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m4,4,False,test,77.09818902381859,8.653771092391686e-07,1.2726958158891648,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m5,5,False,validation,74.8113662565042,1.0648443210670108e-06,1.265414586989209,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m5,5,False,test,77.09820954270667,1.0335115056918555e-06,1.265414586989209,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m6,6,False,validation,74.811353389332,1.0132194322214708e-06,1.2562021461781114,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m6,6,False,test,77.09819550537587,8.923494571473291e-07,1.2562021461781114,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m7,7,False,validation,74.81134545412267,1.3159678888087972e-06,1.2938647631090134,68.80419921875
bike-sharing,regression,controlled_mlp,1,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m7,7,False,test,77.09820886111874,1.3057924519641106e-06,1.2938647631090134,68.80419921875
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,rbf_reference,-1,True,validation,79.41350189755076,0.0,0.5638180070091039,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,rbf_reference,-1,True,test,86.27273050175666,0.0,0.5638180070091039,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m0,0,False,validation,79.50130606531353,0.010080094431936353,0.5507551480550319,68.806640625
bike-sharing,regression,controlled_mlp,1,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m0,0,False,test,86.53721061435486,0.010947884686439582,0.5507551480550319,68.806640625
