dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m7,7,False,validation,0.469252227147988,2.5239964670784107e-08,0.14294409099966288,68.74267578125
credit-g,classification,controlled_mlp,2,BlockAdam+DataInit,block_adam,data_equivariant,orthogonal_all__m7,7,False,test,0.5052127905397666,2.972483943203571e-08,0.14294409099966288,68.74267578125
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,rbf_reference,-1,True,validation,0.46795727571295986,0.0,0.257799353916198,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,rbf_reference,-1,True,test,0.512034094375618,0.0,0.257799353916198,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m0,0,False,validation,0.46795727252015784,2.8757704561591563e-08,0.2999019210692495,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m0,0,False,test,0.5120340989758754,2.5480025211117763e-08,0.2999019210692495,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m1,1,False,validation,0.4679572733704864,3.0687500873595447e-08,0.21814383193850517,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m1,1,False,test,0.5120340980796201,2.942437292906206e-08,0.21814383193850517,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m2,2,False,validation,0.4679572815213989,2.7540783957399152e-08,0.22501255804672837,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m2,2,False,test,0.5120340967305569,2.8380818844271493e-08,0.22501255804672837,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m3,3,False,validation,0.4679572726282375,2.884520828368215e-08,0.19406075705774128,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m3,3,False,test,0.5120340949374117,2.8514807764435935e-08,0.19406075705774128,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m4,4,False,validation,0.4679572717412702,2.8629238814246655e-08,0.20614511892199516,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m4,4,False,test,0.5120340940398009,2.985678042376823e-08,0.20614511892199516,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m5,5,False,validation,0.46795727567808704,2.7704894718693246e-08,0.19913119403645396,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m5,5,False,test,0.5120340955981739,2.758191614846363e-08,0.19913119403645396,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m6,6,False,validation,0.46795727354691896,3.08050832024316e-08,0.2340744968969375,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m6,6,False,test,0.5120341037556632,2.9562123930245937e-08,0.2340744968969375,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m7,7,False,validation,0.46795727371625906,3.08238717586675e-08,0.2631385950371623,68.7412109375
credit-g,classification,controlled_mlp,2,MatrixAdam+DataInit,matrix_adam,data_equivariant,orthogonal_all__m7,7,False,test,0.5120340902053918,3.159102995239473e-08,0.2631385950371623,68.7412109375
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,rbf_reference,-1,True,validation,0.469349328864915,0.0,0.21105416305363178,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,rbf_reference,-1,True,test,0.505195538330414,0.0,0.21105416305363178,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m0,0,False,validation,0.46953116398407013,0.0008270958811959671,0.14877989096567035,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m0,0,False,test,0.5054640942598937,0.0008374704659709471,0.14877989096567035,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m1,1,False,validation,0.4694122827735828,0.0011224258067332991,0.23158922395668924,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m1,1,False,test,0.5050511082658425,0.0011743760023757836,0.23158922395668924,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m2,2,False,validation,0.4692829050912589,0.0013676388508579598,0.15263501717709005,68.74267578125
credit-g,classification,controlled_mlp,2,SoftBlockAdam-a0.1+DataInit,soft_block_adam,data_equivariant,orthogonal_all__m2,2,False,test,0.5054149524515631,0.0012928129109640318,0.15263501717709005,68.74267578125
