dataset,problem_type,model,seed,method,optimizer,initialization,representation_id,member,is_reference,split,task_error,disagreement,fit_seconds,gpu_peak_memory_mb
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m7,7,False,validation,0.46228586856093346,0.019656030376914588,0.16690540499985218,119.2080078125
credit-g,classification,tabm_d,0,AdamW,adamw,default,orthogonal_all__m7,7,False,test,0.47040810309081793,0.023301390446682887,0.16690540499985218,119.2080078125
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,rbf_reference,-1,True,validation,0.4634716521303301,0.0,0.1898689391091466,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,rbf_reference,-1,True,test,0.4725497939002966,0.0,0.1898689391091466,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,validation,0.46479827433843096,0.026347502435823754,0.19095829012803733,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m0,0,False,test,0.4727985439156362,0.025388322177751672,0.19095829012803733,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,validation,0.46636932639728174,0.02144640272372977,0.1897606949787587,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m1,1,False,test,0.474298708222461,0.021207997054307825,0.1897606949787587,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,validation,0.4630431204932732,0.015656135512723046,0.18706310191191733,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m2,2,False,test,0.47368919167640605,0.0191670586078687,0.18706310191191733,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,validation,0.4686722678065439,0.05497218707174621,0.17983307992108166,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m3,3,False,test,0.48030542324591324,0.04945861786387053,0.17983307992108166,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,validation,0.4676975709208019,0.015506374452612095,0.18266699905507267,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m4,4,False,test,0.4761693479935472,0.014746800109415576,0.18266699905507267,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,validation,0.4687772992312441,0.06269754491127989,0.17513782694004476,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m5,5,False,test,0.4849697285623711,0.055963721962614794,0.17513782694004476,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,validation,0.46217499762068304,0.01644986464014817,0.1888162330724299,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m6,6,False,test,0.4719830385539747,0.015262222633611659,0.1888162330724299,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,validation,0.46571280657885483,0.019144211280543437,0.15917301597073674,119.21337890625
credit-g,classification,tabm_d,0,BlockAdam,block_adam,default,orthogonal_all__m7,7,False,test,0.4729886244026539,0.02221904703551918,0.15917301597073674,119.21337890625
credit-g,classification,tabm_d,0,MatrixAdam,matrix_adam,default,rbf_reference,-1,True,validation,0.46284845280345754,0.0,0.25103055499494076,119.2119140625
