dataset,seed,support,model,nll,rmse,coverage_50,coverage_90
Traffic,20261301,1,direct_broad,0.5615692138671875,0.8279299736022949,0.584228515625,0.877685546875
Traffic,20261301,1,projective,0.23852893710136414,0.6256929039955139,0.55322265625,0.851806640625
Traffic,20261301,2,direct_broad,1.5294477939605713,0.8509248495101929,0.546875,0.858154296875
Traffic,20261301,2,projective,1.8585237264633179,0.6641997694969177,0.502197265625,0.822265625
Traffic,20261301,4,direct_broad,0.6051883101463318,0.8232455253601074,0.521240234375,0.8466796875
Traffic,20261301,4,projective,0.6565154790878296,0.6329213976860046,0.466796875,0.7939453125
Traffic,20261301,8,direct_broad,0.20447342097759247,0.8124701976776123,0.482666015625,0.840576171875
Traffic,20261301,8,projective,0.20476102828979492,0.6218617558479309,0.432373046875,0.781982421875
Traffic,20261301,16,direct_broad,0.16216664016246796,0.8165368437767029,0.4814453125,0.839599609375
Traffic,20261301,16,projective,0.18677537143230438,0.6160853505134583,0.42626953125,0.77587890625
Traffic,20261301,32,direct_broad,0.6968473196029663,0.8263059854507446,0.4775390625,0.828857421875
Traffic,20261301,32,projective,0.5455991625785828,0.6139562726020813,0.42041015625,0.78466796875
Traffic,20261302,1,direct_broad,0.5721941590309143,0.8087097406387329,0.60693359375,0.885498046875
Traffic,20261302,1,projective,-0.2561061680316925,0.629274845123291,0.525146484375,0.850341796875
Traffic,20261302,2,direct_broad,0.2802499532699585,0.7987135052680969,0.5703125,0.869873046875
Traffic,20261302,2,projective,0.010819926857948303,0.6253241896629333,0.47802734375,0.812744140625
Traffic,20261302,4,direct_broad,0.18924731016159058,0.8053856492042542,0.538818359375,0.861328125
Traffic,20261302,4,projective,0.08884884417057037,0.6393673419952393,0.4501953125,0.799560546875
Traffic,20261302,8,direct_broad,0.15740039944648743,0.7859238982200623,0.50732421875,0.860595703125
Traffic,20261302,8,projective,0.3239840865135193,0.6095899343490601,0.42333984375,0.785888671875
Traffic,20261302,16,direct_broad,1.0927129983901978,0.7775476574897766,0.501708984375,0.853759765625
Traffic,20261302,16,projective,0.26346611976623535,0.6210944056510925,0.431396484375,0.777099609375
Traffic,20261302,32,direct_broad,0.3114526867866516,0.7903716564178467,0.48193359375,0.854248046875
Traffic,20261302,32,projective,0.35890433192253113,0.6301642656326294,0.41552734375,0.76904296875
Traffic,20261303,1,direct_broad,0.0005267355591058731,0.7776131629943848,0.56103515625,0.874755859375
Traffic,20261303,1,projective,-0.2764725387096405,0.621401846408844,0.52490234375,0.8349609375
Traffic,20261303,2,direct_broad,0.06414555758237839,0.7840917110443115,0.531494140625,0.8603515625
Traffic,20261303,2,projective,-0.23866862058639526,0.6122105717658997,0.493896484375,0.822265625
Traffic,20261303,4,direct_broad,0.7796874046325684,0.8392978310585022,0.491455078125,0.849365234375
Traffic,20261303,4,projective,0.8530026078224182,0.6714404821395874,0.458251953125,0.791015625
Traffic,20261303,8,direct_broad,0.45397692918777466,0.8126132488250732,0.486572265625,0.837158203125
Traffic,20261303,8,projective,0.4685470461845398,0.6507055163383484,0.42822265625,0.77294921875
Traffic,20261303,16,direct_broad,0.520512580871582,0.786933958530426,0.466552734375,0.825927734375
Traffic,20261303,16,projective,0.6286946535110474,0.6490331888198853,0.413818359375,0.758544921875
Traffic,20261303,32,direct_broad,0.7714694738388062,0.8118866086006165,0.455322265625,0.8291015625
Traffic,20261303,32,projective,0.8829370141029358,0.6441923379898071,0.419921875,0.76953125
