n_regimes,model,split,n_tasks,n_observations,nrmse_mean,nrmse_std_across_tasks,nrmse_ci95_low,nrmse_ci95_high,functional_recovery_rate,operator_accuracy_mean,regime_accuracy_mean,training_seconds_mean
2,HardProgramRouter,iid,4,20,0.001488016182309657,6.063253983671329e-05,0.0014453173379940006,0.0015475198588560202,0.35,1.0,1.0,0.04007372577907517
2,HardProgramRouter,ood,4,20,0.000980007963509152,0.0001876398509585476,0.0008006790188797345,0.001107268474312012,0.6000000000000001,1.0,1.0,0.04007372577907517
2,MLP,iid,4,20,0.025406639665730445,0.011985171766220734,0.016918672534363542,0.03631497453282576,-1.0,-1.0,-1.0,1.0697321494109928
2,MLP,ood,4,20,0.5372462379926211,0.19023650355992305,0.35475278446051534,0.6547575817153204,-1.0,-1.0,-1.0,1.0697321494109928
2,NeuralMoE,iid,4,20,0.03138805084225231,0.01733489636476445,0.01764153622197906,0.04513456546252557,-1.0,-1.0,0.88837890625,1.791992862103507
2,NeuralMoE,ood,4,20,0.5681432988180701,0.21106705686785124,0.3577431616686626,0.6779394490697488,-1.0,-1.0,0.64384765625,1.791992862103507
2,OracleRouter,iid,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2,OracleRouter,ood,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2,RandomForest,iid,4,20,0.2901734615730004,0.16134924153271002,0.16480808710876693,0.4157546784862423,-1.0,-1.0,-1.0,0.3961069561773911
2,RandomForest,ood,4,20,0.9148561241306121,0.12335819032782465,0.7930316584754933,0.9951864072005958,-1.0,-1.0,-1.0,0.3961069561773911
2,SingleProgram,iid,4,20,0.7506709067200807,0.11600043762828487,0.6393720404215146,0.8262049768048871,-1.0,-1.0,-1.0,0.0217262347927317
2,SingleProgram,ood,4,20,0.8130570753077662,0.1805223677322934,0.6812771637481516,0.9616404789558133,-1.0,-1.0,-1.0,0.0217262347927317
4,HardProgramRouter,iid,4,20,0.0021160202400602743,0.00031689254397212417,0.0018654461591623092,0.0023665943209582397,0.0,0.9312499999999999,1.0,0.07495424239896237
4,HardProgramRouter,ood,4,20,0.0021757504095465886,0.0012705266696867634,0.0013218636416399805,0.003371037670636284,0.25,0.9312499999999999,1.0,0.07495424239896237
4,MLP,iid,4,20,0.37072811558742946,0.21658614286368022,0.18385803944854112,0.5323292514623149,-1.0,-1.0,-1.0,0.9227722070296295
4,MLP,ood,4,20,0.8434381800492118,0.07960235389976324,0.783148920368794,0.9201890449889369,-1.0,-1.0,-1.0,0.9227722070296295
4,NeuralMoE,iid,4,20,0.3889434312668171,0.2327870475059729,0.1858427978060998,0.5611068693370111,-1.0,-1.0,0.576416015625,1.9593825206160547
4,NeuralMoE,ood,4,20,0.8669153244273207,0.10478173588646225,0.7910644530644846,0.9639377243103974,-1.0,-1.0,0.39077148437500003,1.9593825206160547
4,OracleRouter,iid,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
4,OracleRouter,ood,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
4,RandomForest,iid,4,20,0.5830414685606499,0.17443455624824314,0.4385688801317552,0.7275140569895446,-1.0,-1.0,-1.0,0.3843238465371541
4,RandomForest,ood,4,20,1.0169334405834407,0.03965053974264998,0.9814504002087155,1.0529800894173538,-1.0,-1.0,-1.0,0.3843238465371541
4,SingleProgram,iid,4,20,0.9329378771057537,0.019988072837665613,0.9149844460974337,0.9484909381251188,-1.0,-1.0,-1.0,0.022517942613922058
4,SingleProgram,ood,4,20,1.652968905838566,1.2539730696363172,0.9962069250116798,2.8997389726949816,-1.0,-1.0,-1.0,0.022517942613922058
8,HardProgramRouter,iid,4,20,0.0035254158304972713,0.0001824621877802868,0.0034186544154908485,0.0037067906711664017,0.0,0.96875,1.0,0.13942462311824783
8,HardProgramRouter,ood,4,20,0.0037455549956037417,0.0028787735773156443,0.0015465936135052984,0.006525552260319479,0.2,0.96875,1.0,0.13942462311824783
8,MLP,iid,4,20,0.7079432130417996,0.142258264993488,0.5838627129586469,0.8126040078157162,-1.0,-1.0,-1.0,0.6531491594389081
8,MLP,ood,4,20,1.0646363366099596,0.19128721598924459,0.9364076523411586,1.2432594279100693,-1.0,-1.0,-1.0,0.6531491594389081
8,NeuralMoE,iid,4,20,0.7127701074829504,0.14336272574905845,0.58825636648309,0.8188853066637238,-1.0,-1.0,0.439697265625,2.004229704418685
8,NeuralMoE,ood,4,20,1.0089341050290372,0.05833191424302601,0.9594144923755434,1.0584537176825308,-1.0,-1.0,0.302099609375,2.004229704418685
8,OracleRouter,iid,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
8,OracleRouter,ood,4,20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
8,RandomForest,iid,4,20,0.7668177393689297,0.10878519802049652,0.660060092269409,0.8388341256153211,-1.0,-1.0,-1.0,0.38032022919505837
8,RandomForest,ood,4,20,1.074865148116464,0.07222602567373723,1.0173055189100004,1.1370518908600873,-1.0,-1.0,-1.0,0.38032022919505837
8,SingleProgram,iid,4,20,0.9822545786062032,0.014076524367373108,0.9684773179754855,0.9920757201815235,-1.0,-1.0,-1.0,0.02377558118896559
8,SingleProgram,ood,4,20,1.052510881637227,0.07026100849272963,0.991891701878253,1.1131300613962012,-1.0,-1.0,-1.0,0.02377558118896559
