dataset,task,seed,selected_arm,selected_val_proper_loss,selected_test_proper_loss,selected_test_metric,seed_ensemble_val_proper_loss,seed_ensemble_test_proper_loss,seed_ensemble_test_metric,baseline_test_proper_loss,baseline_test_metric,selective_vs_seed_relative_proper_loss_reduction,selective_vs_baseline_relative_proper_loss_reduction,seed_vs_baseline_relative_proper_loss_reduction,raw_orbit_vs_baseline_relative_proper_loss_reduction,validation_prefers_orbit,orbit_test_better_than_baseline,selective_vs_seed_official_gain,selective_vs_baseline_official_gain,selective_gradient_updates,seed_ensemble_gradient_updates,selective_train_seconds,seed_ensemble_train_seconds,seed_over_selective_time_ratio
taiwanese_bankruptcy_external,binclass,202,measure_orbit,0.08707786260846655,0.06499376372380632,0.9726295210166178,0.08637518931421236,0.06466374388397444,0.9716520039100685,0.0654266933089904,0.9726295210166178,-0.005103630257227653,0.0066170176618812965,0.011661133803794325,0.006617017661881509,True,True,0.09775171065493637,0.0,600,600,6.505095109110698,6.421468297019601,0.987144413619107
taiwanese_bankruptcy_external,binclass,303,baseline_anchor,0.0873752502824386,0.06624386333282645,0.9726295210166178,0.08621103880660123,0.06467898367291071,0.9726295210166178,0.0662438633328264,0.9726295210166178,-0.02419456168064607,-6.284863431691253e-16,0.02362301322997021,-0.007528641334559029,False,False,0.0,0.0,540,540,5.670721329050139,5.798843645956367,1.0225936542234724
helena_external,multiclass,101,measure_orbit,2.583628573354931,2.548340757598692,0.37745398773006134,2.567548324939205,2.5317046689267295,0.38374233128834356,2.5482802947640564,0.3770705521472393,-0.006571101628143255,-2.3726916838657037e-05,0.006504632112638764,-2.3726916838657037e-05,True,False,-0.6288343558282228,0.03834355828220559,4920,4920,52.68185877194628,53.43632956687361,1.0143212637616554
helena_external,multiclass,202,baseline_anchor,2.57867784627176,2.5474577842762636,0.37875766871165645,2.564031479774915,2.5302535384341205,0.3832055214723926,2.547457784276264,0.3787576687116564,-0.006799415782178947,1.7432642558048472e-16,0.006753495955196477,-0.0015266484247241482,False,False,-0.44478527607361706,5.551115123125783e-15,4920,4920,52.46359835192561,50.58723694598302,0.9642349845438362
helena_external,multiclass,303,measure_orbit,2.579222399716092,2.541709774453117,0.3811349693251534,2.5667027507613964,2.527470622383996,0.3830521472392638,2.53940852616341,0.3826687116564417,-0.005633755717283208,-0.000906214288090108,0.00470105682343679,-0.000906214288090108,True,False,-0.19171779141103906,-0.15337423312882792,4920,4920,54.963089424185455,52.95893907803111,0.963536432046477
year_external,regression,101,baseline_anchor,0.6698698401451111,0.6762672066688538,8.988774457752015,0.6649302840232849,0.6735394597053528,8.97062793567818,0.6762672066688538,8.988774457752015,-0.004049869572146908,0.0,0.004033534284380385,0.0,False,False,-0.20228820327796512,0.0,1764,1764,31.478666826849803,32.08005398185924,1.0191045941785717
year_external,regression,202,baseline_anchor,0.6662164330482483,0.6772803664207458,8.995505212771036,0.667490541934967,0.6736956238746643,8.971667746442904,0.6772803664207458,8.995505212771036,-0.005321012069908377,0.0,0.0052928487577840085,0.0,False,False,-0.26569715912164826,0.0,1568,1568,27.443169857142493,26.85955744306557,0.9787337826819947
year_external,regression,303,baseline_anchor,0.6678154468536377,0.6812180876731873,9.021617102269374,0.6632500290870667,0.6741448044776917,8.97465817965724,0.6812180876731873,9.021617102269374,-0.010492231266212584,0.0,0.010383287413367973,0.0,False,False,-0.5232391214472722,0.0,1960,1960,38.43211688613519,38.93609410105273,1.0131134388566392
sberbank_window2_external,regression,101,baseline_anchor,0.41916748881340027,0.4374309778213501,0.2501770498015432,0.41633376479148865,0.44480857253074646,0.25227794712185414,0.4374309778213501,0.2501770498015432,0.016585999382658933,0.0,-0.01686573444373074,0.061610950126681684,False,True,0.8327708958627957,0.0,903,903,11.830857390770689,11.987264761701226,1.0132202904459444
sberbank_window2_external,regression,202,measure_orbit,0.41392406821250916,0.45770666003227234,0.2559094363631793,0.4098380208015442,0.4413587152957916,0.251297729784838,0.4459701180458069,0.2526071212206773,-0.03704004060625512,-0.026316879789824752,0.010340160839075787,-0.026316879789824627,True,False,-1.8351564824281827,-1.3072929720049782,1155,1155,14.850358464056626,14.54956899001263,0.9797453054906373
sberbank_window2_external,regression,303,measure_orbit,0.41824325919151306,0.4287629723548889,0.24768592335092876,0.41529786586761475,0.43131309747695923,0.248421402000087,0.4306007027626037,0.2482161642040878,0.005912468545443465,0.004267829559785821,-0.0016544206959835772,0.004267829559785821,True,True,0.29606090426861903,0.2136205975381431,966,966,14.506042837863788,14.589975110953674,1.0057860213173233
