seed,task_family,query_family,domain,direct_broad,direct_long,direct_moment,projective,advantage_vs_direct_long,advantage_vs_direct_broad,advantage_vs_direct_moment,best_control,advantage_vs_best_control
2027083101,interaction,dense,wine,1.316878318786621,1.4197598298390706,1.372948666413625,1.2120252052942913,0.2077346245447793,0.10485311349232984,0.16092346111933375,1.316878318786621,0.10485311349232984
2027083101,interaction,point,breast_cancer,1.3379145463307698,1.1969173153241477,1.154046614964803,1.100150724252065,0.09676659107208274,0.23776382207870483,0.05389589071273804,1.154046614964803,0.05389589071273804
2027083101,interaction,point,diabetes,1.2736087441444397,1.2292944590250652,1.2238943378130596,1.1519086360931396,0.07738582293192553,0.12170010805130005,0.07198570171991991,1.2238943378130596,0.07198570171991991
2027083101,interaction,point,digits,1.2958936492602031,1.1947641571362813,1.1565829316775005,1.0689053336779275,0.12585882345835375,0.2269883155822756,0.08767759799957298,1.1565829316775005,0.08767759799957298
2027083101,interaction,point,gaussian,1.2356680234273274,1.1844069759051006,1.1779391765594482,1.0943867365519206,0.09002023935317993,0.14128128687540675,0.0835524400075276,1.1779391765594482,0.0835524400075276
2027083101,interaction,point,wine,1.3436373472213743,1.2732409238815308,1.2432672381401062,1.1271895567576091,0.14605136712392164,0.21644779046376517,0.11607768138249708,1.2432672381401062,0.11607768138249708
2027083101,interaction,scaled_dense,breast_cancer,2.310294985771179,20.124502817789715,2.631925582885742,2.148800849914551,17.975701967875164,0.16149413585662842,0.4831247329711914,2.310294985771179,0.16149413585662842
2027083101,interaction,scaled_dense,diabetes,2.1423629919687905,9.910171349843344,2.4282410939534507,2.0533910592397056,7.856780290603638,0.08897193272908499,0.3748500347137451,2.1423629919687905,0.08897193272908499
2027083101,interaction,scaled_dense,digits,2.184351682662964,14.827986081441244,2.5173829793930054,2.056679685910543,12.7713063955307,0.1276719967524209,0.4607032934824624,2.184351682662964,0.1276719967524209
2027083101,interaction,scaled_dense,gaussian,2.108606576919556,13.092744827270508,2.449398954709371,2.020710408687592,11.072034418582916,0.08789616823196411,0.4286885460217791,2.108606576919556,0.08789616823196411
