dataset,seed,truth_expression,compiled_expression,feature_precision,feature_recall,feature_f1,operator_accuracy,exact_program,depth_error,coefficient_error
program-202608512,3,"safe_divide(add(x2, multiply(x0, x1)), x0)","(1 * safe_divide(add(x2, multiply(x0, x1)), x0) + 2.1673111e-17)",1.0,1.0,1.0,1.0,True,0.0,6.878069261876603e-16
program-202608512,4,"safe_divide(add(x2, multiply(x0, x1)), x0)","(1 * safe_divide(add(x2, multiply(x0, x1)), x0) + 2.1673111e-17)",1.0,1.0,1.0,1.0,True,0.0,6.878069261876603e-16
program-202608513,0,"safe_divide(safe_divide(x1, x3), x2)","(1 * safe_divide(safe_divide(x1, x3), x2) + -5.0099089e-17)",1.0,1.0,1.0,1.0,True,0.0,6.052106016880617e-16
program-202608513,1,"safe_divide(safe_divide(x1, x3), x2)","(1 * safe_divide(safe_divide(x1, x3), x2) + -5.0099089e-17)",1.0,1.0,1.0,1.0,True,0.0,6.052106016880617e-16
program-202608513,2,"safe_divide(safe_divide(x1, x3), x2)","(1 * safe_divide(safe_divide(x1, x3), x2) + -5.0099089e-17)",1.0,1.0,1.0,1.0,True,0.0,6.052106016880617e-16
program-202608513,3,"safe_divide(safe_divide(x1, x3), x2)","(1 * safe_divide(safe_divide(x1, x3), x2) + -5.0099089e-17)",1.0,1.0,1.0,1.0,True,0.0,6.052106016880617e-16
program-202608513,4,"safe_divide(safe_divide(x1, x3), x2)","(1 * safe_divide(safe_divide(x1, x3), x2) + -5.0099089e-17)",1.0,1.0,1.0,1.0,True,0.0,6.052106016880617e-16
program-202608514,0,"add(x1, x3)","(1 * add(x1, x3) + 3.1185868e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1414088927692855e-16
program-202608514,1,"add(x1, x3)","(1 * add(x1, x3) + 3.1185868e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1414088927692855e-16
program-202608514,2,"add(x1, x3)","(1 * add(x1, x3) + 3.1185868e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1414088927692855e-16
program-202608514,3,"add(x1, x3)","(1 * add(x1, x3) + 3.1185868e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1414088927692855e-16
program-202608514,4,"add(x1, x3)","(1 * add(x1, x3) + 3.1185868e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1414088927692855e-16
program-202608515,0,"subtract(multiply(x0, x3), x0)","(1 * subtract(multiply(x0, x3), x0) + -1.7362732e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2838503405959192e-16
program-202608515,1,"subtract(multiply(x0, x3), x0)","(1 * subtract(multiply(x0, x3), x0) + -1.7362732e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2838503405959192e-16
program-202608515,2,"subtract(multiply(x0, x3), x0)","(1 * subtract(multiply(x0, x3), x0) + -1.7362732e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2838503405959192e-16
program-202608515,3,"subtract(multiply(x0, x3), x0)","(1 * subtract(multiply(x0, x3), x0) + -1.7362732e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2838503405959192e-16
program-202608515,4,"subtract(multiply(x0, x3), x0)","(1 * subtract(multiply(x0, x3), x0) + -1.7362732e-17)",1.0,1.0,1.0,1.0,True,0.0,1.2838503405959192e-16
program-202608516,0,"safe_divide(multiply(x0, x1), x0)","(1 * safe_divide(multiply(x0, x1), x0) + -3.4591497e-17)",1.0,1.0,1.0,1.0,True,0.0,1.0337922189911544e-15
program-202608516,1,"safe_divide(multiply(x0, x1), x0)","(1 * safe_divide(multiply(x0, x1), x0) + -3.4591497e-17)",1.0,1.0,1.0,1.0,True,0.0,1.0337922189911544e-15
program-202608516,2,"safe_divide(multiply(x0, x1), x0)","(1 * safe_divide(multiply(x0, x1), x0) + -3.4591497e-17)",1.0,1.0,1.0,1.0,True,0.0,1.0337922189911544e-15
program-202608516,3,"safe_divide(multiply(x0, x1), x0)","(1 * safe_divide(multiply(x0, x1), x0) + -3.4591497e-17)",1.0,1.0,1.0,1.0,True,0.0,1.0337922189911544e-15
program-202608516,4,"safe_divide(multiply(x0, x1), x0)","(1 * safe_divide(multiply(x0, x1), x0) + -3.4591497e-17)",1.0,1.0,1.0,1.0,True,0.0,1.0337922189911544e-15
program-202608517,0,"safe_divide(x3, x2)","(1 * safe_divide(x3, x2) + -4.9560306e-18)",1.0,1.0,1.0,1.0,True,0.0,4.490452404976449e-16
program-202608517,1,"safe_divide(x3, x2)","(1 * safe_divide(x3, x2) + -4.9560306e-18)",1.0,1.0,1.0,1.0,True,0.0,4.490452404976449e-16
program-202608517,2,"safe_divide(x3, x2)","(1 * safe_divide(x3, x2) + -4.9560306e-18)",1.0,1.0,1.0,1.0,True,0.0,4.490452404976449e-16
program-202608517,3,"safe_divide(x3, x2)","(1 * safe_divide(x3, x2) + -4.9560306e-18)",1.0,1.0,1.0,1.0,True,0.0,4.490452404976449e-16
program-202608517,4,"safe_divide(x3, x2)","(1 * safe_divide(x3, x2) + -4.9560306e-18)",1.0,1.0,1.0,1.0,True,0.0,4.490452404976449e-16
program-202608518,0,"subtract(subtract(subtract(x2, x3), x1), x0)","(1 * subtract(subtract(subtract(x2, x3), x1), x0) + -1.4786152e-17)",1.0,1.0,1.0,1.0,True,0.0,1.258084548554624e-16
program-202608518,1,"subtract(subtract(subtract(x2, x3), x1), x0)","(1 * subtract(subtract(subtract(x2, x3), x1), x0) + -1.4786152e-17)",1.0,1.0,1.0,1.0,True,0.0,1.258084548554624e-16
program-202608518,2,"subtract(subtract(subtract(x2, x3), x1), x0)","(1 * subtract(subtract(subtract(x2, x3), x1), x0) + -1.4786152e-17)",1.0,1.0,1.0,1.0,True,0.0,1.258084548554624e-16
program-202608518,3,"subtract(subtract(subtract(x2, x3), x1), x0)","(1 * subtract(subtract(subtract(x2, x3), x1), x0) + -1.4786152e-17)",1.0,1.0,1.0,1.0,True,0.0,1.258084548554624e-16
program-202608518,4,"subtract(subtract(subtract(x2, x3), x1), x0)","(1 * subtract(subtract(subtract(x2, x3), x1), x0) + -1.4786152e-17)",1.0,1.0,1.0,1.0,True,0.0,1.258084548554624e-16
program-202608519,0,"safe_divide(abs(multiply(x0, x2)), x1)","(1 * safe_divide(abs(multiply(x0, x2)), x1) + 7.5212837e-18)",1.0,1.0,1.0,1.0,True,0.0,7.521283738063462e-18
program-202608519,1,"safe_divide(abs(multiply(x0, x2)), x1)","(1 * safe_divide(abs(multiply(x0, x2)), x1) + 7.5212837e-18)",1.0,1.0,1.0,1.0,True,0.0,7.521283738063462e-18
program-202608519,2,"safe_divide(abs(multiply(x0, x2)), x1)","(1 * safe_divide(abs(multiply(x0, x2)), x1) + 7.5212837e-18)",1.0,1.0,1.0,1.0,True,0.0,7.521283738063462e-18
program-202608519,3,"safe_divide(abs(multiply(x0, x2)), x1)","(1 * safe_divide(abs(multiply(x0, x2)), x1) + 7.5212837e-18)",1.0,1.0,1.0,1.0,True,0.0,7.521283738063462e-18
program-202608519,4,"safe_divide(abs(multiply(x0, x2)), x1)","(1 * safe_divide(abs(multiply(x0, x2)), x1) + 7.5212837e-18)",1.0,1.0,1.0,1.0,True,0.0,7.521283738063462e-18
program-202608520,0,"safe_divide(safe_divide(x1, x2), x1)","(1 * safe_divide(safe_divide(x1, x2), x1) + 1.7931397e-17)",1.0,1.0,1.0,1.0,True,0.0,1.793139688351535e-17
program-202608520,1,"safe_divide(safe_divide(x1, x2), x1)","(1 * safe_divide(safe_divide(x1, x2), x1) + 1.7931397e-17)",1.0,1.0,1.0,1.0,True,0.0,1.793139688351535e-17
program-202608520,2,"safe_divide(safe_divide(x1, x2), x1)","(1 * safe_divide(safe_divide(x1, x2), x1) + 1.7931397e-17)",1.0,1.0,1.0,1.0,True,0.0,1.793139688351535e-17
program-202608520,3,"safe_divide(safe_divide(x1, x2), x1)","(1 * safe_divide(safe_divide(x1, x2), x1) + 1.7931397e-17)",1.0,1.0,1.0,1.0,True,0.0,1.793139688351535e-17
program-202608520,4,"safe_divide(safe_divide(x1, x2), x1)","(1 * safe_divide(safe_divide(x1, x2), x1) + 1.7931397e-17)",1.0,1.0,1.0,1.0,True,0.0,1.793139688351535e-17
program-202608521,0,"multiply(x0, x1)","(1 * multiply(x0, x1) + -1.2982338e-18)",1.0,1.0,1.0,1.0,True,0.0,6.674320485736845e-16
program-202608521,1,"multiply(x0, x1)","(1 * multiply(x0, x1) + -1.2982338e-18)",1.0,1.0,1.0,1.0,True,0.0,6.674320485736845e-16
program-202608521,2,"multiply(x0, x1)","(1 * multiply(x0, x1) + -1.2982338e-18)",1.0,1.0,1.0,1.0,True,0.0,6.674320485736845e-16
program-202608521,3,"multiply(x0, x1)","(1 * multiply(x0, x1) + -1.2982338e-18)",1.0,1.0,1.0,1.0,True,0.0,6.674320485736845e-16
program-202608521,4,"multiply(x0, x1)","(1 * multiply(x0, x1) + -1.2982338e-18)",1.0,1.0,1.0,1.0,True,0.0,6.674320485736845e-16
program-202608522,0,"subtract(safe_divide(square(x1), x3), x1)","(1 * subtract(safe_divide(multiply(x1, x1), x3), x1) + 8.3444312e-17)",1.0,1.0,1.0,0.6666666666666666,False,0.0,3.054889164821775e-16
program-202608522,1,"subtract(safe_divide(square(x1), x3), x1)","(1 * subtract(safe_divide(multiply(x1, x1), x3), x1) + 8.3444312e-17)",1.0,1.0,1.0,0.6666666666666666,False,0.0,3.054889164821775e-16
program-202608522,2,"subtract(safe_divide(square(x1), x3), x1)","(1 * subtract(safe_divide(multiply(x1, x1), x3), x1) + 8.3444312e-17)",1.0,1.0,1.0,0.6666666666666666,False,0.0,3.054889164821775e-16
program-202608522,3,"subtract(safe_divide(square(x1), x3), x1)","(1 * subtract(safe_divide(multiply(x1, x1), x3), x1) + 8.3444312e-17)",1.0,1.0,1.0,0.6666666666666666,False,0.0,3.054889164821775e-16
program-202608522,4,"subtract(safe_divide(square(x1), x3), x1)","(1 * subtract(safe_divide(multiply(x1, x1), x3), x1) + 8.3444312e-17)",1.0,1.0,1.0,0.6666666666666666,False,0.0,3.054889164821775e-16
program-202608523,0,"safe_divide(add(x3, multiply(x0, x3)), x1)","(1 * safe_divide(add(x3, multiply(x0, x3)), x1) + -1.392137e-17)",1.0,1.0,1.0,1.0,True,0.0,1.24943672611492e-16
program-202608523,1,"safe_divide(add(x3, multiply(x0, x3)), x1)","(1 * safe_divide(add(x3, multiply(x0, x3)), x1) + -1.392137e-17)",1.0,1.0,1.0,1.0,True,0.0,1.24943672611492e-16
program-202608523,2,"safe_divide(add(x3, multiply(x0, x3)), x1)","(1 * safe_divide(add(x3, multiply(x0, x3)), x1) + -1.392137e-17)",1.0,1.0,1.0,1.0,True,0.0,1.24943672611492e-16
program-202608523,3,"safe_divide(add(x3, multiply(x0, x3)), x1)","(1 * safe_divide(add(x3, multiply(x0, x3)), x1) + -1.392137e-17)",1.0,1.0,1.0,1.0,True,0.0,1.24943672611492e-16
program-202608523,4,"safe_divide(add(x3, multiply(x0, x3)), x1)","(1 * safe_divide(add(x3, multiply(x0, x3)), x1) + -1.392137e-17)",1.0,1.0,1.0,1.0,True,0.0,1.24943672611492e-16
program-202608524,0,"multiply(x1, subtract(square(x0), x2))","(1 * multiply(x1, subtract(square(x0), x2)) + -4.1251764e-17)",1.0,1.0,1.0,1.0,True,0.0,5.963632763772407e-16
program-202608524,1,"multiply(x1, subtract(square(x0), x2))","(1 * multiply(x1, subtract(square(x0), x2)) + -4.1251764e-17)",1.0,1.0,1.0,1.0,True,0.0,5.963632763772407e-16
program-202608524,2,"multiply(x1, subtract(square(x0), x2))","(1 * multiply(x1, subtract(square(x0), x2)) + -4.1251764e-17)",1.0,1.0,1.0,1.0,True,0.0,5.963632763772407e-16
program-202608524,3,"multiply(x1, subtract(square(x0), x2))","(1 * multiply(x1, subtract(square(x0), x2)) + -4.1251764e-17)",1.0,1.0,1.0,1.0,True,0.0,5.963632763772407e-16
program-202608524,4,"multiply(x1, subtract(square(x0), x2))","(1 * multiply(x1, subtract(square(x0), x2)) + -4.1251764e-17)",1.0,1.0,1.0,1.0,True,0.0,5.963632763772407e-16
program-202608525,0,"subtract(x2, x1)","(-1 * subtract(x1, x2) + -8.4422049e-18)",1.0,1.0,1.0,1.0,False,0.0,2.0
program-202608525,1,"subtract(x2, x1)","(-1 * subtract(x1, x2) + -8.4422049e-18)",1.0,1.0,1.0,1.0,False,0.0,2.0
program-202608525,2,"subtract(x2, x1)","(-1 * subtract(x1, x2) + -8.4422049e-18)",1.0,1.0,1.0,1.0,False,0.0,2.0
program-202608525,3,"subtract(x2, x1)","(-1 * subtract(x1, x2) + -8.4422049e-18)",1.0,1.0,1.0,1.0,False,0.0,2.0
program-202608525,4,"subtract(x2, x1)","(-1 * subtract(x1, x2) + -8.4422049e-18)",1.0,1.0,1.0,1.0,False,0.0,2.0
program-202608526,0,"subtract(x2, x0)","(-1 * subtract(x0, x2) + 1.7639803e-17)",1.0,1.0,1.0,1.0,False,0.0,1.9999999999999996
program-202608526,1,"subtract(x2, x0)","(-1 * subtract(x0, x2) + 1.7639803e-17)",1.0,1.0,1.0,1.0,False,0.0,1.9999999999999996
program-202608526,2,"subtract(x2, x0)","(-1 * subtract(x0, x2) + 1.7639803e-17)",1.0,1.0,1.0,1.0,False,0.0,1.9999999999999996
program-202608526,3,"subtract(x2, x0)","(-1 * subtract(x0, x2) + 1.7639803e-17)",1.0,1.0,1.0,1.0,False,0.0,1.9999999999999996
program-202608526,4,"subtract(x2, x0)","(-1 * subtract(x0, x2) + 1.7639803e-17)",1.0,1.0,1.0,1.0,False,0.0,1.9999999999999996
program-202608527,0,"safe_divide(subtract(subtract(x2, x3), x1), x2)","(1 * safe_divide(subtract(subtract(x2, x3), x1), x2) + 3.7476295e-17)",1.0,1.0,1.0,1.0,True,0.0,4.815655052927531e-16
program-202608527,1,"safe_divide(subtract(subtract(x2, x3), x1), x2)","(1 * safe_divide(subtract(subtract(x2, x3), x1), x2) + 3.7476295e-17)",1.0,1.0,1.0,1.0,True,0.0,4.815655052927531e-16
program-202608527,2,"safe_divide(subtract(subtract(x2, x3), x1), x2)","(1 * safe_divide(subtract(subtract(x2, x3), x1), x2) + 3.7476295e-17)",1.0,1.0,1.0,1.0,True,0.0,4.815655052927531e-16
program-202608527,3,"safe_divide(subtract(subtract(x2, x3), x1), x2)","(1 * safe_divide(subtract(subtract(x2, x3), x1), x2) + 3.7476295e-17)",1.0,1.0,1.0,1.0,True,0.0,4.815655052927531e-16
program-202608527,4,"safe_divide(subtract(subtract(x2, x3), x1), x2)","(1 * safe_divide(subtract(subtract(x2, x3), x1), x2) + 3.7476295e-17)",1.0,1.0,1.0,1.0,True,0.0,4.815655052927531e-16
program-202608528,0,"subtract(x0, x3)","(1 * subtract(x0, x3) + 3.2591517e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1428145411313643e-16
program-202608528,1,"subtract(x0, x3)","(1 * subtract(x0, x3) + 3.2591517e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1428145411313643e-16
program-202608528,2,"subtract(x0, x3)","(1 * subtract(x0, x3) + 3.2591517e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1428145411313643e-16
program-202608528,3,"subtract(x0, x3)","(1 * subtract(x0, x3) + 3.2591517e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1428145411313643e-16
program-202608528,4,"subtract(x0, x3)","(1 * subtract(x0, x3) + 3.2591517e-18)",1.0,1.0,1.0,1.0,True,0.0,1.1428145411313643e-16
program-202608529,0,"subtract(subtract(x2, x0), x1)","(1 * subtract(subtract(x2, x0), x1) + 1.9194961e-17)",1.0,1.0,1.0,1.0,True,0.0,4.632841707802078e-16
program-202608529,1,"subtract(subtract(x2, x0), x1)","(1 * subtract(subtract(x2, x0), x1) + 1.9194961e-17)",1.0,1.0,1.0,1.0,True,0.0,4.632841707802078e-16
program-202608529,2,"subtract(subtract(x2, x0), x1)","(1 * subtract(subtract(x2, x0), x1) + 1.9194961e-17)",1.0,1.0,1.0,1.0,True,0.0,4.632841707802078e-16
program-202608529,3,"subtract(subtract(x2, x0), x1)","(1 * subtract(subtract(x2, x0), x1) + 1.9194961e-17)",1.0,1.0,1.0,1.0,True,0.0,4.632841707802078e-16
program-202608529,4,"subtract(subtract(x2, x0), x1)","(1 * subtract(subtract(x2, x0), x1) + 1.9194961e-17)",1.0,1.0,1.0,1.0,True,0.0,4.632841707802078e-16
program-202608530,0,abs(x1),(1 * abs(x1) + 9.5890407e-17),1.0,1.0,1.0,1.0,True,0.0,7.620242213515504e-16
program-202608530,1,abs(x1),(1 * abs(x1) + 9.5890407e-17),1.0,1.0,1.0,1.0,True,0.0,7.620242213515504e-16
