dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,method,rmse,mae,quotient_mse
Electricity,patchtst,canonical_train,20261212,1.2856769851378296,0.4282069206237793,12,10.419637819053605,409880,401688,phasecover4,0.6507135033607483,0.5007731914520264,0.006463741417974234
Electricity,patchtst,canonical_train,20261212,1.2856769851378296,0.4282069206237793,12,10.419637819053605,409880,401688,full8,0.7101085782051086,0.5488255620002747,0.0
Electricity,patchtst,phase_aug_train,20261211,0.41206759250123215,0.2984597086906433,6,5.108206047909334,409880,401688,canonical,0.7242979407310486,0.5531840920448303,0.16571438312530518
Electricity,patchtst,phase_aug_train,20261211,0.41206759250123215,0.2984597086906433,6,5.108206047909334,409880,401688,exact_iid4,0.5307966879435948,0.39473226240703035,0.012725459448327975
Electricity,patchtst,phase_aug_train,20261211,0.41206759250123215,0.2984597086906433,6,5.108206047909334,409880,401688,phasecover4,0.5269240736961365,0.39184296131134033,0.003309805877506733
Electricity,patchtst,phase_aug_train,20261211,0.41206759250123215,0.2984597086906433,6,5.108206047909334,409880,401688,full8,0.51898193359375,0.38554850220680237,0.0
Electricity,patchtst,phase_aug_train,20261212,0.41682578245748153,0.24673132598400116,5,4.340848627034575,409880,401688,canonical,0.5919291377067566,0.45239830017089844,0.11176744103431702
Electricity,patchtst,phase_aug_train,20261212,0.41682578245748153,0.24673132598400116,5,4.340848627034575,409880,401688,exact_iid4,0.7083064930779593,0.5441149060215269,0.008696621573264045
Electricity,patchtst,phase_aug_train,20261212,0.41682578245748153,0.24673132598400116,5,4.340848627034575,409880,401688,phasecover4,0.6802103519439697,0.5227320194244385,0.002165371784940362
Electricity,patchtst,phase_aug_train,20261212,0.41682578245748153,0.24673132598400116,5,4.340848627034575,409880,401688,full8,0.7034586668014526,0.5407198071479797,0.0
JenaWeather,moment,canonical_train,20261211,0.24587713802242095,0.10928215086460114,4,13.922992994077504,36123864,786456,canonical,0.44445836544036865,0.26671120524406433,0.021320000290870667
JenaWeather,moment,canonical_train,20261211,0.24587713802242095,0.10928215086460114,4,13.922992994077504,36123864,786456,exact_iid4,0.46495599789278846,0.2790808809655053,0.0017060840282023752
JenaWeather,moment,canonical_train,20261211,0.24587713802242095,0.10928215086460114,4,13.922992994077504,36123864,786456,phasecover4,0.4587055444717407,0.27511247992515564,0.0004837870073970407
