dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,canonical,exact_iid4,full8,phasecover4,exact_iid4_quotient_mse,phasecover4_quotient_mse,cover_minus_iid_rmse,full_gain_vs_canonical,cover_quotient_ratio
JenaWeather,moment,phase_aug_train,20261211,0.23042039769001182,0.1036878302693367,7,24.43193626892753,36123864,786456,0.44999414682388306,0.45801723642008646,0.45637616515159607,0.4540829658508301,0.001535880977254627,0.0005715780425816774,-0.003934270569256382,-0.006382018327713013,0.37214995891372254
JenaWeather,moment,phase_aug_train,20261212,0.22184092622256343,0.1007240042090416,4,13.903405795106664,36123864,786456,0.454037070274353,0.46338402884347096,0.4618587791919708,0.4594108462333679,0.001449332039919682,0.00043479332816787064,-0.003973182610103043,-0.007821708917617798,0.2999956643420135
JenaWeather,patchtst,canonical_train,20261211,0.5234390663623678,0.22058048844337463,7,6.499156949110329,409880,401688,0.42140623927116394,0.5240694058792932,0.5189419388771057,0.5173983573913574,0.0069508246412234645,0.0008717851596884429,-0.00667104848793576,-0.09753569960594177,0.12542183189576103
JenaWeather,patchtst,canonical_train,20261212,0.4951007554495598,0.20890042185783386,10,8.91564514185302,409880,401688,0.42193517088890076,0.5291882480893816,0.5247288346290588,0.5310555100440979,0.006234199302603624,0.001074979780241847,0.001867261954716315,-0.10279366374015808,0.17243269392957924
JenaWeather,patchtst,phase_aug_train,20261211,0.22496347228162578,0.10207784920930862,7,6.154529007850215,409880,401688,0.4537529945373535,0.4489687676940646,0.4473208487033844,0.44581136107444763,0.0014885555911210498,0.0005886618164367974,-0.0031574066196169426,0.006432145833969116,0.39545840272815663
JenaWeather,patchtst,phase_aug_train,20261212,0.2914737663542948,0.13991107046604156,9,7.661283380817622,409880,401688,0.48001256585121155,0.4411595472267696,0.4380146861076355,0.4369420111179352,0.002796443986673174,0.0012670002179220319,-0.004217536108834408,0.04199787974357605,0.45307548585277946
Traffic,moment,canonical_train,20261211,0.9782687658116194,0.6503123641014099,8,28.042991581838578,36123864,786456,0.6647583842277527,1.1367740520409175,1.1191409826278687,1.0522925853729248,0.060415179987571066,0.010363771580159664,-0.08448146666799272,-0.45438259840011597,0.17154250938740487
Traffic,moment,canonical_train,20261212,1.0007500856180542,0.65105801820755,12,42.29837871505879,36123864,786456,0.6505700349807739,1.1235954914774213,1.1057183742523193,1.0384520292282104,0.06055379839880126,0.010690153576433659,-0.08514346224921088,-0.4551483392715454,0.1765397689180351
Traffic,moment,phase_aug_train,20261211,0.44369433848613277,0.4618820548057556,7,24.582405021879822,36123864,786456,1.0409915447235107,0.9565481007099151,0.9410756826400757,0.9269421100616455,0.030476433374652907,0.007383251097053289,-0.02960599064826963,0.09991586208343506,0.24226099577629387
Traffic,moment,phase_aug_train,20261212,0.5883512928433093,0.569442093372345,4,14.103151025017723,36123864,786456,0.9678606986999512,1.1801013452666147,1.164871096611023,1.1182231903076172,0.046323468928624476,0.009176918305456638,-0.06187815495899751,-0.19701039791107178,0.19810516176144966
Traffic,patchtst,canonical_train,20261211,1.0045579028263139,0.6450437903404236,12,10.284596818033606,409880,401688,0.6421170830726624,1.0694187888077327,1.0495078563690186,0.9933879971504211,0.059440219535359315,0.00892168190330267,-0.07603079165731153,-0.4073907732963562,0.15009503620684664
Traffic,patchtst,canonical_train,20261212,1.0603153542059869,0.6798904538154602,12,10.816427905112505,409880,401688,0.6412153244018555,1.123225907768522,1.102974772453308,1.0369035005569458,0.0660358485366617,0.011692915111780167,-0.08632240721157625,-0.46175944805145264,0.1770692036354846
